NO,TYPE,DEFINE1,DEFINE2
172,GPM16GT5120-A,,
173,GPM18GT5120-A,,
174,GPM20GT5120-A,,
175,GPM22GT5120-A,,
176,GPM24GT5120-A,,
177,GPM14GT5150-A,,
178,GPM15GT5150-A,,
179,GPM16GT5150-A,,
180,GPM18GT5150-A,,
181,GPM20GT5150-A,,
182,GPM22GT5150-A,,
183,GPM24GT5150-A,,
184,GPM14GT5090-B,,
185,GPM15GT5090-B,,
186,GPM16GT5090-B,,
187,GPM18GT5090-B,,
188,GPM20GT5090-B,,
189,GPM22GT5090-B,,
190,GPM24GT5090-B,,
191,GPM14GT5120-B,,
192,GPM15GT5120-B,,
193,GPM16GT5120-B,,
194,GPM18GT5120-B,,
195,GPM20GT5120-B,,
196,GPM22GT5120-B,,
197,GPM24GT5120-B,,
198,GPM14GT5150-B,,
199,GPM15GT5150-B,,
200,GPM16GT5150-B,,
201,GPM18GT5150-B,,
202,GPM20GT5150-B,,
203,GPM22GT5150-B,,
204,GPM24GT5150-B,,
205,MTP30MXL025-A,,
206,MTP32MXL025-A,,
207,MTP34MXL025-A,,
208,MTP36MXL025-A,,
209,MTP38MXL025-A,,
210,MTP40MXL025-A,,
211,MTP42MXL025-A,,
212,MTP44MXL025-A,,
213,MTP46MXL025-A,,
214,MTP48MXL025-A,,
215,MTP50MXL025-A,,
216,MTP60MXL025-A,,
217,MTP30MXL037-A,,
218,MTP32MXL037-A,,
219,MTP34MXL037-A,,
220,MTP36MXL037-A,,
221,MTP38MXL037-A,,
222,MTP40MXL037-A,,
223,MTP42MXL037-A,,
224,MTP44MXL037-A,,
225,MTP46MXL037-A,,
226,MTP48MXL037-A,,
227,MTP50MXL037-A,,
228,MTP60MXL037-A,,
229,MTPB30MXL025-A,,
230,MTPB32MXL025-A,,
231,MTPB34MXL025-A,,
232,MTPB36MXL025-A,,
233,MTPB38MXL025-A,,
234,MTPB40MXL025-A,,
235,MTPB42MXL025-A,,
236,MTPB44MXL025-A,,
237,MTPB46MXL025-A,,
238,MTPB48MXL025-A,,
239,MTPB50MXL025-A,,
240,MTPB60MXL025-A,,
241,MTPB30MXL037-A,,
242,MTPB32MXL037-A,,
243,MTPB34MXL037-A,,
244,MTPB36MXL037-A,,
245,MTPB38MXL037-A,,
246,MTPB40MXL037-A,,
247,MTPB42MXL037-A,,
248,MTPB44MXL037-A,,
249,MTPB46MXL037-A,,
250,MTPB48MXL037-A,,
251,MTPB50MXL037-A,,
252,MTPB60MXL037-A,,
253,MTPP30MXL025-A,,
254,MTPP32MXL025-A,,
255,MTPP34MXL025-A,,
256,MTPP36MXL025-A,,
257,MTPP38MXL025-A,,
258,MTPP40MXL025-A,,
259,MTPP42MXL025-A,,
260,MTPP44MXL025-A,,
261,MTPP46MXL025-A,,
262,MTPP48MXL025-A,,
263,MTPP50MXL025-A,,
264,MTPP60MXL025-A,,
265,MTPP30MXL037-A,,
266,MTPP32MXL037-A,,
267,MTPP34MXL037-A,,
268,MTPP36MXL037-A,,
269,MTPP38MXL037-A,,
270,MTPP40MXL037-A,,
271,MTPP42MXL037-A,,
272,MTPP44MXL037-A,,
273,MTPP46MXL037-A,,
274,MTPP48MXL037-A,,
275,MTPP50MXL037-A,,
276,MTPP60MXL037-A,,
277,STP30MXL025-A,,
278,STP32MXL025-A,,
279,STP34MXL025-A,,
280,STP36MXL025-A,,
281,STP38MXL025-A,,
282,STP40MXL025-A,,
283,STP42MXL025-A,,
284,STP44MXL025-A,,
285,STP46MXL025-A,,
286,STP48MXL025-A,,
287,STP50MXL025-A,,
288,STP60MXL025-A,,
289,STP30MXL037-A,,
290,STP32MXL037-A,,
291,STP34MXL037-A,,
292,STP36MXL037-A,,
293,STP38MXL037-A,,
294,STP40MXL037-A,,
295,STP42MXL037-A,,
296,STP44MXL037-A,,
297,STP46MXL037-A,,
298,STP48MXL037-A,,
299,STP50MXL037-A,,
300,STP60MXL037-A,,
301,MTP30MXL025-B,,
302,MTP32MXL025-B,,
303,MTP34MXL025-B,,
304,MTP36MXL025-B,,
305,MTP38MXL025-B,,
306,MTP40MXL025-B,,
307,MTP42MXL025-B,,
308,MTP44MXL025-B,,
309,MTP46MXL025-B,,
310,MTP48MXL025-B,,
311,MTP50MXL025-B,,
312,MTP60MXL025-B,,
313,MTP30MXL037-B,,
314,MTP32MXL037-B,,
315,MTP34MXL037-B,,
316,MTP36MXL037-B,,
317,MTP38MXL037-B,,
318,MTP40MXL037-B,,
319,MTP42MXL037-B,,
320,MTP44MXL037-B,,
321,MTP46MXL037-B,,
322,MTP48MXL037-B,,
323,MTP50MXL037-B,,
324,MTP60MXL037-B,,
325,MTPB30MXL025-B,,
326,MTPB32MXL025-B,,
327,MTPB34MXL025-B,,
328,MTPB36MXL025-B,,
329,MTPB38MXL025-B,,
330,MTPB40MXL025-B,,
331,MTPB42MXL025-B,,
332,MTPB44MXL025-B,,
333,MTPB46MXL025-B,,
334,MTPB48MXL025-B,,
335,MTPB50MXL025-B,,
336,MTPB60MXL025-B,,
337,MTPB30MXL037-B,,
338,MTPB32MXL037-B,,
339,MTPB34MXL037-B,,
340,MTPB36MXL037-B,,
341,MTPB38MXL037-B,,
342,MTPB40MXL037-B,,
343,MTPB42MXL037-B,,
344,MTPB44MXL037-B,,
345,MTPB46MXL037-B,,
346,MTPB48MXL037-B,,
347,MTPB50MXL037-B,,
348,MTPB60MXL037-B,,
349,MTPP30MXL025-B,,
350,MTPP32MXL025-B,,
351,MTPP34MXL025-B,,
352,MTPP36MXL025-B,,
353,MTPP38MXL025-B,,
354,MTPP40MXL025-B,,
355,MTPP42MXL025-B,,
356,MTPP44MXL025-B,,
357,MTPP46MXL025-B,,
358,MTPP48MXL025-B,,
359,MTPP50MXL025-B,,
360,MTPP60MXL025-B,,
361,MTPP30MXL037-B,,
362,MTPP32MXL037-B,,
363,MTPP34MXL037-B,,
364,MTPP36MXL037-B,,
365,MTPP38MXL037-B,,
366,MTPP40MXL037-B,,
367,MTPP42MXL037-B,,
368,MTPP44MXL037-B,,
369,MTPP46MXL037-B,,
370,MTPP48MXL037-B,,
371,MTPP50MXL037-B,,
372,MTPP60MXL037-B,,
373,STP30MXL025-B,,
374,STP32MXL025-B,,
375,STP34MXL025-B,,
376,STP36MXL025-B,,
377,STP38MXL025-B,,
378,STP40MXL025-B,,
379,STP42MXL025-B,,
380,STP44MXL025-B,,
381,STP46MXL025-B,,
382,STP48MXL025-B,,
383,STP50MXL025-B,,
384,STP60MXL025-B,,
385,STP30MXL037-B,,
386,STP32MXL037-B,,
387,STP34MXL037-B,,
388,STP36MXL037-B,,
389,STP38MXL037-B,,
390,STP40MXL037-B,,
391,STP42MXL037-B,,
392,STP44MXL037-B,,
393,STP46MXL037-B,,
394,STP48MXL037-B,,
395,STP50MXL037-B,,
396,STP60MXL037-B,,
397,MTP12XL025-A,,
398,MTP14XL025-A,,
399,MTP15XL025-A,,
400,MTP16XL025-A,,
401,MTP18XL025-A,,
402,MTP19XL025-A,,
403,MTP20XL025-A,,
404,MTP21XL025-A,,
405,MTP22XL025-A,,
406,MTP24XL025-A,,
407,MTP12XL037-A,,
408,MTP14XL037-A,,
409,MTP15XL037-A,,
410,MTP16XL037-A,,
411,MTP18XL037-A,,
412,MTP19XL037-A,,
413,MTP20XL037-A,,
414,MTP21XL037-A,,
415,MTP22XL037-A,,
416,MTP24XL037-A,,
417,MTP12XL050-A,,
418,MTP14XL050-A,,
419,MTP15XL050-A,,
420,MTP16XL050-A,,
421,MTP18XL050-A,,
422,MTP19XL050-A,,
423,MTP20XL050-A,,
424,MTP21XL050-A,,
425,MTP22XL050-A,,
426,MTP24XL050-A,,
427,MTPB12XL025-A,,
428,MTPB14XL025-A,,
429,MTPB15XL025-A,,
430,MTPB16XL025-A,,
431,MTPB18XL025-A,,
432,MTPB19XL025-A,,
433,MTPB20XL025-A,,
434,MTPB21XL025-A,,
435,MTPB22XL025-A,,
436,MTPB24XL025-A,,
437,MTPB12XL037-A,,
438,MTPB14XL037-A,,
439,MTPB15XL037-A,,
440,MTPB16XL037-A,,
441,MTPB18XL037-A,,
442,MTPB19XL037-A,,
443,MTPB20XL037-A,,
444,MTPB21XL037-A,,
445,MTPB22XL037-A,,
446,MTPB24XL037-A,,
447,MTPB12XL050-A,,
448,MTPB14XL050-A,,
449,MTPB15XL050-A,,
450,MTPB16XL050-A,,
451,MTPB18XL050-A,,
452,MTPB19XL050-A,,
453,MTPB20XL050-A,,
454,MTPB21XL050-A,,
455,MTPB22XL050-A,,
456,MTPB24XL050-A,,
457,MTPP12XL025-A,,
458,MTPP14XL025-A,,
459,MTPP15XL025-A,,
460,MTPP16XL025-A,,
461,MTPP18XL025-A,,
462,MTPP19XL025-A,,
463,MTPP20XL025-A,,
464,MTPP21XL025-A,,
465,MTPP22XL025-A,,
466,MTPP24XL025-A,,
467,MTPP12XL037-A,,
468,MTPP14XL037-A,,
469,MTPP15XL037-A,,
470,MTPP16XL037-A,,
471,MTPP18XL037-A,,
472,MTPP19XL037-A,,
473,MTPP20XL037-A,,
474,MTPP21XL037-A,,
475,MTPP22XL037-A,,
476,MTPP24XL037-A,,
477,MTPP12XL050-A,,
478,MTPP14XL050-A,,
479,MTPP15XL050-A,,
480,MTPP16XL050-A,,
481,MTPP18XL050-A,,
482,MTPP19XL050-A,,
483,MTPP20XL050-A,,
484,MTPP21XL050-A,,
485,MTPP22XL050-A,,
486,MTPP24XL050-A,,
487,STP12XL025-A,,
488,STP14XL025-A,,
489,STP15XL025-A,,
490,STP16XL025-A,,
491,STP18XL025-A,,
492,STP19XL025-A,,
493,STP20XL025-A,,
494,STP21XL025-A,,
495,STP22XL025-A,,
496,STP24XL025-A,,
497,STP12XL037-A,,
498,STP14XL037-A,,
499,STP15XL037-A,,
500,STP16XL037-A,,
501,STP18XL037-A,,
502,STP19XL037-A,,
503,STP20XL037-A,,
504,STP21XL037-A,,
505,STP22XL037-A,,
506,STP24XL037-A,,
507,STP12XL050-A,,
508,STP14XL050-A,,
509,STP15XL050-A,,
510,STP16XL050-A,,
511,STP18XL050-A,,
512,STP19XL050-A,,
513,STP20XL050-A,,
514,STP21XL050-A,,
515,STP22XL050-A,,
516,STP24XL050-A,,
517,MTP12XL025-B,,
518,MTP14XL025-B,,
519,MTP15XL025-B,,
520,MTP16XL025-B,,
521,MTP18XL025-B,,
522,MTP19XL025-B,,
523,MTP20XL025-B,,
524,MTP21XL025-B,,
525,MTP22XL025-B,,
526,MTP24XL025-B,,
527,MTP12XL037-B,,
528,MTP14XL037-B,,
529,MTP15XL037-B,,
530,MTP16XL037-B,,
531,MTP18XL037-B,,
532,MTP19XL037-B,,
533,MTP20XL037-B,,
534,MTP21XL037-B,,
535,MTP22XL037-B,,
536,MTP24XL037-B,,
537,MTP12XL050-B,,
538,MTP14XL050-B,,
539,MTP15XL050-B,,
540,MTP16XL050-B,,
541,MTP18XL050-B,,
542,MTP19XL050-B,,
543,MTP20XL050-B,,
544,MTP21XL050-B,,
545,MTP22XL050-B,,
546,MTP24XL050-B,,
547,MTPB12XL025-B,,
548,MTPB14XL025-B,,
549,MTPB15XL025-B,,
550,MTPB16XL025-B,,
551,MTPB18XL025-B,,
552,MTPB19XL025-B,,
553,MTPB20XL025-B,,
554,MTPB21XL025-B,,
555,MTPB22XL025-B,,
556,MTPB24XL025-B,,
557,MTPB12XL037-B,,
558,MTPB14XL037-B,,
559,MTPB15XL037-B,,
560,MTPB16XL037-B,,
561,MTPB18XL037-B,,
562,MTPB19XL037-B,,
563,MTPB20XL037-B,,
564,MTPB21XL037-B,,
565,MTPB22XL037-B,,
566,MTPB24XL037-B,,
567,MTPB12XL050-B,,
568,MTPB14XL050-B,,
569,MTPB15XL050-B,,
570,MTPB16XL050-B,,
571,MTPB18XL050-B,,
572,MTPB19XL050-B,,
573,MTPB20XL050-B,,
574,MTPB21XL050-B,,
575,MTPB22XL050-B,,
576,MTPB24XL050-B,,
577,MTPP12XL025-B,,
578,MTPP14XL025-B,,
579,MTPP15XL025-B,,
580,MTPP16XL025-B,,
581,MTPP18XL025-B,,
582,MTPP19XL025-B,,
583,MTPP20XL025-B,,
584,MTPP21XL025-B,,
585,MTPP22XL025-B,,
586,MTPP24XL025-B,,
587,MTPP12XL037-B,,
588,MTPP14XL037-B,,
589,MTPP15XL037-B,,
590,MTPP16XL037-B,,
591,MTPP18XL037-B,,
592,MTPP19XL037-B,,
593,MTPP20XL037-B,,
594,MTPP21XL037-B,,
595,MTPP22XL037-B,,
596,MTPP24XL037-B,,
597,MTPP12XL050-B,,
598,MTPP14XL050-B,,
599,MTPP15XL050-B,,
600,MTPP16XL050-B,,
601,MTPP18XL050-B,,
602,MTPP19XL050-B,,
603,MTPP20XL050-B,,
604,MTPP21XL050-B,,
605,MTPP22XL050-B,,
606,MTPP24XL050-B,,
607,STP12XL025-B,,
608,STP14XL025-B,,
609,STP15XL025-B,,
610,STP16XL025-B,,
611,STP18XL025-B,,
612,STP19XL025-B,,
613,STP20XL025-B,,
614,STP21XL025-B,,
615,STP22XL025-B,,
616,STP24XL025-B,,
617,STP12XL037-B,,
618,STP14XL037-B,,
619,STP15XL037-B,,
620,STP16XL037-B,,
621,STP18XL037-B,,
622,STP19XL037-B,,
623,STP20XL037-B,,
624,STP21XL037-B,,
625,STP22XL037-B,,
626,STP24XL037-B,,
627,STP12XL050-B,,
628,STP14XL050-B,,
629,STP15XL050-B,,
630,STP16XL050-B,,
631,STP18XL050-B,,
632,STP19XL050-B,,
633,STP20XL050-B,,
634,STP21XL050-B,,
635,STP22XL050-B,,
636,STP24XL050-B,,
637,ATPT10L050-A,,
638,ATPT12L050-A,,
639,ATPT10L075-A,,
640,ATPT12L075-A,,
641,ATPT10L100-A,,
642,ATPT12L100-A,,
643,ATPT10L150-A,,
644,ATPT12L150-A,,
645,ATP10L050-A,,
646,ATP12L050-A,,
647,ATP10L075-A,,
648,ATP12L075-A,,
649,ATP10L100-A,,
650,ATP12L100-A,,
651,ATP10L150-A,,
652,ATP12L150-A,,
653,ATPP10L050-A,,
654,ATPP12L050-A,,
655,ATPP10L075-A,,
656,ATPP12L075-A,,
657,ATPP10L100-A,,
658,ATPP12L100-A,,
659,ATPP10L150-A,,
660,ATPP12L150-A,,
661,ATPT10L050-B,,
662,ATPT12L050-B,,
663,ATPT12L075-B,,
664,ATPT14L075-B,,
665,ATPT10L100-B,,
666,ATPT12L100-B,,
667,ATPT10L150-B,,
668,ATPT12L150-B,,
669,ATP10L050-B,,
670,ATP12L050-B,,
671,ATP10L075-B,,
672,ATP12L075-B,,
673,ATP10L100-B,,
674,ATP12L100-B,,
675,ATP10L150-B,,
676,ATP12L150-B,,
677,ATPP10L050-B,,
678,ATPP12L050-B,,
679,ATPP10L075-B,,
680,ATPP12L075-B,,
681,ATPP10L100-B,,
682,ATPP12L100-B,,
683,ATPP10L150-B,,
684,ATPP12L150-B,,
685,HTPT32S2M040-A,,
686,HTPT34S2M040-A,,
687,HTPT36S2M040-A,,
688,HTPT40S2M040-A,,
689,HTPT44S2M040-A,,
690,HTPT48S2M040-A,,
691,HTPT50S2M040-A,,
692,HTPT60S2M040-A,,
693,HTPT32S2M060-A,,
694,HTPT34S2M060-A,,
695,HTPT36S2M060-A,,
696,HTPT40S2M060-A,,
697,HTPT44S2M060-A,,
698,HTPT48S2M060-A,,
699,HTPT50S2M060-A,,
700,HTPT60S2M060-A,,
701,HTPT32S2M100-A,,
702,HTPT34S2M100-A,,
703,HTPT36S2M100-A,,
704,HTPT40S2M100-A,,
705,HTPT44S2M100-A,,
706,HTPT48S2M100-A,,
707,HTPT50S2M100-A,,
708,HTPT60S2M100-A,,
709,HTPT32S2M040-B,,
710,HTPT34S2M040-B,,
711,HTPT36S2M040-B,,
712,HTPT40S2M040-B,,
713,HTPT44S2M040-B,,
714,HTPT48S2M040-B,,
715,HTPT50S2M040-B,,
716,HTPT60S2M040-B,,
717,HTPT32S2M060-B,,
718,HTPT34S2M060-B,,
719,HTPT36S2M060-B,,
720,HTPT40S2M060-B,,
721,HTPT44S2M060-B,,
722,HTPT48S2M060-B,,
723,HTPT50S2M060-B,,
724,HTPT60S2M060-B,,
725,HTPM32S2M040-A,,
726,HTPM34S2M040-A,,
727,HTPM36S2M040-A,,
728,HTPM40S2M040-A,,
729,HTPM44S2M040-A,,
730,HTPM48S2M040-A,,
731,HTPM50S2M040-A,,
732,HTPM60S2M040-A,,
733,HTPM32S2M060-A,,
734,HTPM34S2M060-A,,
735,HTPM36S2M060-A,,
736,HTPM40S2M060-A,,
737,HTPM44S2M060-A,,
738,HTPM48S2M060-A,,
739,HTPM50S2M060-A,,
740,HTPM60S2M060-A,,
741,HTPM32S2M100-A,,
742,HTPM34S2M100-A,,
743,HTPM36S2M100-A,,
744,HTPM40S2M100-A,,
745,HTPM44S2M100-A,,
746,HTPM48S2M100-A,,
747,HTPM50S2M100-A,,
748,HTPM60S2M100-A,,
749,HTPM32S2M040-B,,
750,HTPM34S2M040-B,,
751,HTPM36S2M040-B,,
752,HTPM40S2M040-B,,
753,HTPM44S2M040-B,,
754,HTPM48S2M040-B,,
755,HTPM50S2M040-B,,
756,HTPM60S2M040-B,,
757,HTPM32S2M060-B,,
758,HTPM34S2M060-B,,
759,HTPM36S2M060-B,,
760,HTPM40S2M060-B,,
761,HTPM44S2M060-B,,
762,HTPM48S2M060-B,,
763,HTPM50S2M060-B,,
764,HTPM60S2M060-B,,
765,HTPP32S2M040-A,,
766,HTPP34S2M040-A,,
767,HTPP36S2M040-A,,
768,HTPP40S2M040-A,,
769,HTPP44S2M040-A,,
770,HTPP48S2M040-A,,
771,HTPP50S2M040-A,,
772,HTPP60S2M040-A,,
773,HTPP32S2M060-A,,
774,HTPP34S2M060-A,,
775,HTPP36S2M060-A,,
776,HTPP40S2M060-A,,
777,HTPP44S2M060-A,,
778,HTPP48S2M060-A,,
779,HTPP50S2M060-A,,
780,HTPP60S2M060-A,,
781,HTPP32S2M100-A,,
782,HTPP34S2M100-A,,
783,HTPP36S2M100-A,,
784,HTPP40S2M100-A,,
785,HTPP44S2M100-A,,
786,HTPP48S2M100-A,,
787,HTPP50S2M100-A,,
788,HTPP60S2M100-A,,
789,HTPP32S2M040-B,,
790,HTPP34S2M040-B,,
791,HTPP36S2M040-B,,
792,HTPP40S2M040-B,,
793,HTPP44S2M040-B,,
794,HTPP48S2M040-B,,
795,HTPP50S2M040-B,,
796,HTPP60S2M040-B,,
797,HTPP32S2M060-B,,
798,HTPP34S2M060-B,,
799,HTPP36S2M060-B,,
800,HTPP40S2M060-B,,
801,HTPP44S2M060-B,,
802,HTPP48S2M060-B,,
803,HTPP50S2M060-B,,
804,HTPP60S2M060-B,,
805,HTPS32S2M040-A,,
806,HTPS34S2M040-A,,
807,HTPS36S2M040-A,,
808,HTPS40S2M040-A,,
809,HTPS44S2M040-A,,
810,HTPS48S2M040-A,,
811,HTPS50S2M040-A,,
812,HTPS60S2M040-A,,
813,HTPS32S2M060-A,,
814,HTPS34S2M060-A,,
815,HTPS36S2M060-A,,
816,HTPS40S2M060-A,,
817,HTPS44S2M060-A,,
818,HTPS48S2M060-A,,
819,HTPS50S2M060-A,,
820,HTPS60S2M060-A,,
821,HTPS32S2M100-A,,
822,HTPS34S2M100-A,,
823,HTPS36S2M100-A,,
824,HTPS40S2M100-A,,
825,HTPS44S2M100-A,,
826,HTPS48S2M100-A,,
827,HTPS50S2M100-A,,
828,HTPS60S2M100-A,,
829,HTPS32S2M040-B,,
830,HTPS34S2M040-B,,
831,HTPS36S2M040-B,,
832,HTPS40S2M040-B,,
833,HTPS44S2M040-B,,
834,HTPS48S2M040-B,,
835,HTPS50S2M040-B,,
836,HTPS60S2M040-B,,
837,HTPS32S2M060-B,,
838,HTPS34S2M060-B,,
839,HTPS36S2M060-B,,
840,HTPS40S2M060-B,,
841,HTPS44S2M060-B,,
842,HTPS48S2M060-B,,
843,HTPS50S2M060-B,,
844,HTPS60S2M060-B,,
845,HTPT22S3M060-A,,
846,HTPT24S3M060-A,,
847,HTPT25S3M060-A,,
848,HTPT26S3M060-A,,
849,HTPT28S3M060-A,,
850,HTPT30S3M060-A,,
851,HTPT32S3M060-A,,
852,HTPT34S3M060-A,,
853,HTPT36S3M060-A,,
854,HTPT40S3M060-A,,
855,HTPT22S3M100-A,,
856,HTPT24S3M100-A,,
857,HTPT25S3M100-A,,
858,HTPT26S3M100-A,,
859,HTPT28S3M100-A,,
860,HTPT30S3M100-A,,
861,HTPT32S3M100-A,,
862,HTPT34S3M100-A,,
863,HTPT36S3M100-A,,
864,HTPT40S3M100-A,,
865,HTPT22S3M150-A,,
866,HTPT24S3M150-A,,
867,HTPT25S3M150-A,,
868,HTPT26S3M150-A,,
869,HTPT28S3M150-A,,
870,HTPT30S3M150-A,,
871,HTPT32S3M150-A,,
872,HTPT34S3M150-A,,
873,HTPT36S3M150-A,,
874,HTPT40S3M150-A,,
875,HTPT22S3M060-K,,
876,HTPT22S3M100-K,,
877,HTPT22S3M150-K,,
878,HTPT24S3M060-B,,
879,HTPT25S3M060-B,,
880,HTPT26S3M060-B,,
881,HTPT28S3M060-B,,
882,HTPT30S3M060-B,,
883,HTPT32S3M060-B,,
884,HTPT34S3M060-B,,
885,HTPT36S3M060-B,,
886,HTPT40S3M060-B,,
887,HTPT24S3M100-B,,
888,HTPT25S3M100-B,,
889,HTPT26S3M100-B,,
890,HTPT28S3M100-B,,
891,HTPT30S3M100-B,,
892,HTPT32S3M100-B,,
893,HTPT34S3M100-B,,
894,HTPT36S3M100-B,,
895,HTPT40S3M100-B,,
896,HTPT24S3M150-B,,
897,HTPT25S3M150-B,,
898,HTPT26S3M150-B,,
899,HTPT28S3M150-B,,
900,HTPT30S3M150-B,,
901,HTPT32S3M150-B,,
902,HTPT34S3M150-B,,
903,HTPT36S3M150-B,,
904,HTPT40S3M150-B,,
905,HTPM22S3M060-A,,
906,HTPM24S3M060-A,,
907,HTPM25S3M060-A,,
908,HTPM26S3M060-A,,
909,HTPM28S3M060-A,,
910,HTPM30S3M060-A,,
911,HTPM32S3M060-A,,
912,HTPM34S3M060-A,,
913,HTPM36S3M060-A,,
914,HTPM40S3M060-A,,
915,HTPM22S3M100-A,,
916,HTPM24S3M100-A,,
917,HTPM25S3M100-A,,
918,HTPM26S3M100-A,,
919,HTPM28S3M100-A,,
920,HTPM30S3M100-A,,
921,HTPM32S3M100-A,,
922,HTPM34S3M100-A,,
923,HTPM36S3M100-A,,
924,HTPM40S3M100-A,,
925,HTPM22S3M150-A,,
926,HTPM24S3M150-A,,
927,HTPM25S3M150-A,,
