NO,TYPE,DEFINE1,DEFINE2
5021010,JPDB6-8,,
5021011,JPDB6-10,,
5021012,JPDB8-10,,
5021013,JPDB8-12,,
5021014,JPDB8-13,,
5021015,JPDB10-12,,
5021016,JPDB10-13,,
5021017,JPDB10-15,,
5021018,JPDB12-13,,
5021019,JPDB12-15,,
5021020,JPDB12-16,,
5021021,JPDB13-15,,
5021022,JPDB13-16,,
5021023,JPDB16-20,,
5021024,JPDB16-25,,
5021025,JPDB20-25,,
5021026,JPDB20-30,,
5031001,JPDPB2-3,,
5031002,JPDPB2-4,,
5031003,JPDPB3-4,,
5031004,JPDPB3-5,,
5031005,JPDPB3-6,,
5031006,JPDPB4-5,,
5031007,JPDPB4-6,,
5031008,JPDPB5-6,,
5031009,JPDPB5-8,,
5031010,JPDPB6-8,,
5031011,JPDPB6-10,,
5031012,JPDPB8-10,,
5031013,JPDPB8-12,,
5031014,JPDPB8-13,,
5031015,JPDPB10-12,,
5031016,JPDPB10-13,,
5031017,JPDPB10-15,,
5031018,JPDPB12-13,,
5031019,JPDPB12-15,,
5031020,JPDPB12-16,,
5031021,JPDPB13-15,,
5031022,JPDPB13-16,,
5031023,JPDPB16-20,,
5031024,JPDPB16-25,,
5031025,JPDPB20-25,,
5031026,JPDPB20-30,,
5041001,SJPBB1-2,,
5041002,SJPBB2-3,,
5041003,SJPBB2-4,,
5041004,SJPBB3-4,,
5041005,SJPBB3-5,,
5041006,SJPBB3-6,,
5041007,SJPBB4-5,,
5041008,SJPBB4-6,,
5041009,SJPBB5-6,,
5041010,SJPBB5-8,,
5041011,SJPBB6-8,,
5041012,SJPBB6-10,,
5041013,SJPBB8-10,,
5041014,SJPBB8-12,,
5041015,SJPBB8-13,,
5041016,SJPBB10-12,,
5041017,SJPBB10-13,,
5041018,SJPBB10-15,,
5041019,SJPBB12-13,,
5041020,SJPBB12-15,,
5041021,SJPBB12-16,,
5041022,SJPBB13-15,,
5041023,SJPBB13-16,,
5041024,SJPBB16-20,,
5041025,SJPBB16-25,,
5041026,SJPBB20-25,,
5041027,SJPBB20-30,,
5051001,SJPBPB1-2,,
5051002,SJPBPB2-3,,
5051003,SJPBPB2-4,,
5051004,SJPBPB3-4,,
5051005,SJPBPB3-5,,
5051006,SJPBPB3-6,,
5051007,SJPBPB4-5,,
5051008,SJPBPB4-6,,
5051009,SJPBPB5-6,,
5051010,SJPBPB5-8,,
5051011,SJPBPB6-8,,
5051012,SJPBPB6-10,,
5051013,SJPBPB8-10,,
5051014,SJPBPB8-12,,
5051015,SJPBPB8-13,,
5051016,SJPBPB10-12,,
5051017,SJPBPB10-13,,
5051018,SJPBPB10-15,,
5051019,SJPBPB12-13,,
5051020,SJPBPB12-15,,
5051021,SJPBPB12-16,,
5051022,SJPBPB13-15,,
5051023,SJPBPB13-16,,
5051024,SJPBPB16-20,,
5051025,SJPBPB16-25,,
5051026,SJPBPB20-25,,
5051027,SJPBPB20-30,,
5061001,SJPDB2-3,,
5061002,SJPDB2-4,,
5061003,SJPDB3-4,,
5061004,SJPDB3-5,,
5061005,SJPDB3-6,,
5061006,SJPDB4-5,,
5061007,SJPDB4-6,,
5061008,SJPDB5-6,,
5061009,SJPDB5-8,,
5061010,SJPDB6-8,,
5061011,SJPDB6-10,,
5061012,SJPDB8-10,,
5061013,SJPDB8-12,,
5061014,SJPDB8-13,,
5061015,SJPDB10-12,,
5061016,SJPDB10-13,,
5061017,SJPDB10-15,,
5061018,SJPDB12-13,,
5061019,SJPDB12-15,,
5061020,SJPDB12-16,,
5061021,SJPDB13-15,,
5061022,SJPDB13-16,,
5061023,SJPDB16-20,,
5061024,SJPDB16-25,,
5061025,SJPDB20-25,,
5061026,SJPDB20-30,,
5071001,SJPDPB2-3,,
5071002,SJPDPB2-4,,
5071003,SJPDPB3-4,,
5071004,SJPDPB3-5,,
5071005,SJPDPB3-6,,
5071006,SJPDPB4-5,,
5071007,SJPDPB4-6,,
5071008,SJPDPB5-6,,
5071009,SJPDPB5-8,,
5071010,SJPDPB6-8,,
5071011,SJPDPB6-10,,
5071012,SJPDPB8-10,,
5071013,SJPDPB8-12,,
5071014,SJPDPB8-13,,
5071015,SJPDPB10-12,,
5071016,SJPDPB10-13,,
5071017,SJPDPB10-15,,
5071018,SJPDPB12-13,,
5071019,SJPDPB12-15,,
5071020,SJPDPB12-16,,
5071021,SJPDPB13-15,,
5071022,SJPDPB13-16,,
5071023,SJPDPB16-20,,
5071024,SJPDPB16-25,,
5071025,SJPDPB20-25,,
5071026,SJPDPB20-30,,
5081001,CJPBB1-2,,
5081002,CJPBB2-3,,
5081003,CJPBB2-4,,
5081004,CJPBB3-4,,
5081005,CJPBB3-5,,
5081006,CJPBB3-6,,
5081007,CJPBB4-5,,
5081008,CJPBB4-6,,
5081009,CJPBB5-6,,
5081010,CJPBB5-8,,
5081011,CJPBB6-8,,
5081012,CJPBB6-10,,
5081013,CJPBB8-10,,
5081014,CJPBB8-12,,
5081015,CJPBB8-13,,
5081016,CJPBB10-12,,
5081017,CJPBB10-13,,
5081018,CJPBB10-15,,
5081019,CJPBB12-13,,
5081020,CJPBB12-15,,
5081021,CJPBB12-16,,
5081022,CJPBB13-15,,
5081023,CJPBB13-16,,
5081024,CJPBB16-20,,
5081025,CJPBB16-25,,
5081026,CJPBB20-25,,
5081027,CJPBB20-30,,
5091001,CJPBPB1-2,,
5091002,CJPBPB2-3,,
5091003,CJPBPB2-4,,
5091004,CJPBPB3-4,,
5091005,CJPBPB3-5,,
5091006,CJPBPB3-6,,
5091007,CJPBPB4-5,,
5091008,CJPBPB4-6,,
5091009,CJPBPB5-6,,
5091010,CJPBPB5-8,,
5091011,CJPBPB6-8,,
5091012,CJPBPB6-10,,
5091013,CJPBPB8-10,,
5091014,CJPBPB8-12,,
5091015,CJPBPB8-13,,
5091016,CJPBPB10-12,,
5091017,CJPBPB10-13,,
5091018,CJPBPB10-15,,
5091019,CJPBPB12-13,,
5091020,CJPBPB12-15,,
5091021,CJPBPB12-16,,
5091022,CJPBPB13-15,,
5091023,CJPBPB13-16,,
5091024,CJPBPB16-20,,
5091025,CJPBPB16-25,,
5091026,CJPBPB20-25,,
5091027,CJPBPB20-30,,
5101001,CJPDB2-3,,
5101002,CJPDB2-4,,
5101003,CJPDB3-4,,
5101004,CJPDB3-5,,
5101005,CJPDB3-6,,
5101006,CJPDB4-5,,
5101007,CJPDB4-6,,
5101008,CJPDB5-6,,
5101009,CJPDB5-8,,
5101010,CJPDB6-8,,
5101011,CJPDB6-10,,
5101012,CJPDB8-10,,
5101013,CJPDB8-12,,
5101014,CJPDB8-13,,
5101015,CJPDB10-12,,
5101016,CJPDB10-13,,
5101017,CJPDB10-15,,
5101018,CJPDB12-13,,
5101019,CJPDB12-15,,
5101020,CJPDB12-16,,
5101021,CJPDB13-15,,
5101022,CJPDB13-16,,
5101023,CJPDB16-20,,
5101024,CJPDB16-25,,
5101025,CJPDB20-25,,
5101026,CJPDB20-30,,
5111001,CJPDPB2-3,,
5111002,CJPDPB2-4,,
5111003,CJPDPB3-4,,
5111004,CJPDPB3-5,,
5111005,CJPDPB3-6,,
5111006,CJPDPB4-5,,
5111007,CJPDPB4-6,,
5111008,CJPDPB5-6,,
5111009,CJPDPB5-8,,
5111010,CJPDPB6-8,,
5111011,CJPDPB6-10,,
5111012,CJPDPB8-10,,
5111013,CJPDPB8-12,,
5111014,CJPDPB8-13,,
5111015,CJPDPB10-12,,
5111016,CJPDPB10-13,,
5111017,CJPDPB10-15,,
5111018,CJPDPB12-13,,
5111019,CJPDPB12-15,,
5111020,CJPDPB12-16,,
5111021,CJPDPB13-15,,
5111022,CJPDPB13-16,,
5111023,CJPDPB16-20,,
5111024,CJPDPB16-25,,
5111025,CJPDPB20-25,,
5111026,CJPDPB20-30,,
5160001,FPBA1,,
5160002,FPBA2,,
5160003,FPBA3,,
5160004,FPBA4,,
5160005,FPBA5,,
5160006,FPBA6,,
5160007,FPBA8,,
5160008,FPBA10,,
5160009,FPBA12,,
5160010,FPBA13,,
5160011,FPBA16,,
5160012,FPBA20,,
5170001,FPBPA1,,
5170002,FPBPA2,,
5170003,FPBPA3,,
5170004,FPBPA4,,
5170005,FPBPA5,,
5170006,FPBPA6,,
5170007,FPBPA8,,
5170008,FPBPA10,,
5170009,FPBPA12,,
5170010,FPBPA13,,
5170011,FPBPA16,,
5170012,FPBPA20,,
5180001,FPBD2,,
5180002,FPBD3,,
5180003,FPBD4,,
5180004,FPBD5,,
5180005,FPBD6,,
5180006,FPBD8,,
5180007,FPBD10,,
5180008,FPBD12,,
5180009,FPBD13,,
5180010,FPBD16,,
5180011,FPBD20,,
5180012,FPBD1,,
5190001,FPBPD2,,
5190002,FPBPD3,,
5190003,FPBPD4,,
5190004,FPBPD5,,
5190005,FPBPD6,,
5190006,FPBPD8,,
5190007,FPBPD10,,
5190008,FPBPD12,,
5190009,FPBPD13,,
5190010,FPBPD16,,
5190011,FPBPD20,,
5190012,FPBPD1,,
5200001,SFPBA1,,
5200002,SFPBA2,,
5200003,SFPBA3,,
5200004,SFPBA4,,
5200005,SFPBA5,,
5200006,SFPBA6,,
5200007,SFPBA8,,
5200008,SFPBA10,,
5200009,SFPBA12,,
5200010,SFPBA13,,
5200011,SFPBA16,,
5200012,SFPBA20,,
5210001,SFPBPA1,,
5210002,SFPBPA2,,
5210003,SFPBPA3,,
5210004,SFPBPA4,,
5210005,SFPBPA5,,
5210006,SFPBPA6,,
5210007,SFPBPA8,,
5210008,SFPBPA10,,
5210009,SFPBPA12,,
5210010,SFPBPA13,,
5210011,SFPBPA16,,
5210012,SFPBPA20,,
5220001,SFPBD2,,
5220002,SFPBD3,,
5220003,SFPBD4,,
5220004,SFPBD5,,
5220005,SFPBD6,,
5220006,SFPBD8,,
5220007,SFPBD10,,
5220008,SFPBD12,,
5220009,SFPBD13,,
5220010,SFPBD16,,
5220011,SFPBD20,,
5220012,SFPBD1,,
5230001,SFPBPD2,,
5230002,SFPBPD3,,
5230003,SFPBPD4,,
5230004,SFPBPD5,,
5230005,SFPBPD6,,
5230006,SFPBPD8,,
5230007,SFPBPD10,,
5230008,SFPBPD12,,
5230009,SFPBPD13,,
5230010,SFPBPD16,,
5230011,SFPBPD20,,
5230012,SFPBPD1,,
5240001,CFPBA1,,
5240002,CFPBA2,,
5240003,CFPBA3,,
5240004,CFPBA4,,
5240005,CFPBA5,,
5240006,CFPBA6,,
5240007,CFPBA8,,
5240008,CFPBA10,,
5240009,CFPBA12,,
5240010,CFPBA13,,
5240011,CFPBA16,,
5240012,CFPBA20,,
5250001,CFPBPA1,,
5250002,CFPBPA2,,
5250003,CFPBPA3,,
5250004,CFPBPA4,,
5250005,CFPBPA5,,
5250006,CFPBPA6,,
5250007,CFPBPA8,,
5250008,CFPBPA10,,
5250009,CFPBPA12,,
5250010,CFPBPA13,,
5250011,CFPBPA16,,
5250012,CFPBPA20,,
5260001,CFPBD2,,
5260002,CFPBD3,,
5260003,CFPBD4,,
5260004,CFPBD5,,
5260005,CFPBD6,,
5260006,CFPBD8,,
5260007,CFPBD10,,
5260008,CFPBD12,,
5260009,CFPBD13,,
5260010,CFPBD16,,
5260011,CFPBD20,,
5260012,CFPBD1,,
5270001,CFPBPD2,,
5270002,CFPBPD3,,
5270003,CFPBPD4,,
5270004,CFPBPD5,,
5270005,CFPBPD6,,
5270006,CFPBPD8,,
5270007,CFPBPD10,,
5270008,CFPBPD12,,
5270009,CFPBPD13,,
5270010,CFPBPD16,,
5270011,CFPBPD20,,
5270012,CFPBPD1,,
5281001,JPBTB6-8,,
5281002,JPBTB6-10,,
5281003,JPBTB6T-8,,
5281004,JPBTB6T-10,,
5281005,JPBTB8-10,,
5281006,JPBTB8-12,,
5281007,JPBTB8-13,,
5281008,JPBTB8T-10,,
5281010,JPBTB8T-13,,
5281011,JPBTB10-12,,
5281012,JPBTB10-13,,
5281013,JPBTB10-15,,
5281014,JPBTB12-13,,
5281015,JPBTB12-15,,
5281016,JPBTB12-16,,
5281017,JPBTB13-15,,
5281018,JPBTB13-16,,
5281019,JPBTB16-20,,
5281020,JPBTB16-25,,
5281021,JPBTB20-25,,
5281022,JPBTB20-30,,
5281023,JPBTB8T-12,,
5291001,JPDTB6-8,,
5291002,JPDTB6-10,,
5291003,JPDTB6T-8,,
5291004,JPDTB6T-10,,
5291005,JPDTB8-10,,
5291006,JPDTB8-12,,
5291007,JPDTB8-13,,
5291008,JPDTB8T-10,,
5291010,JPDTB8T-13,,
5291011,JPDTB10-12,,
5291012,JPDTB10-13,,
5291013,JPDTB10-15,,
5291014,JPDTB12-13,,
5291015,JPDTB12-15,,
5291016,JPDTB12-16,,
5291017,JPDTB13-15,,
5291018,JPDTB13-16,,
5291019,JPDTB16-20,,
5291020,JPDTB16-25,,
5291021,JPDTB20-25,,
5291022,JPDTB20-30,,
5291023,JPDTB8T-12,,
5301001,SJPBTB6-8,,
5301002,SJPBTB6-10,,
5301003,SJPBTB6T-8,,
5301004,SJPBTB6T-10,,
5301005,SJPBTB8-10,,
5301006,SJPBTB8-12,,
5301007,SJPBTB8-13,,
5301008,SJPBTB8T-10,,
5301010,SJPBTB8T-13,,
5301011,SJPBTB10-12,,
5301012,SJPBTB10-13,,
5301013,SJPBTB10-15,,
5301014,SJPBTB12-13,,
5301015,SJPBTB12-15,,
5301016,SJPBTB12-16,,
5301017,SJPBTB13-15,,
5301018,SJPBTB13-16,,
5301019,SJPBTB16-20,,
5301020,SJPBTB16-25,,
5301021,SJPBTB20-25,,
5301022,SJPBTB20-30,,
5301023,SJPBTB8T-12,,
5311001,SJPDTB6-8,,
5311002,SJPDTB6-10,,
5311003,SJPDTB6T-8,,
5311004,SJPDTB6T-10,,
5311005,SJPDTB8-10,,
5311006,SJPDTB8-12,,
5311007,SJPDTB8-13,,
5311008,SJPDTB8T-10,,
5311010,SJPDTB8T-13,,
5311011,SJPDTB10-12,,
5311012,SJPDTB10-13,,
5311013,SJPDTB10-15,,
5311014,SJPDTB12-13,,
5311015,SJPDTB12-15,,
5311016,SJPDTB12-16,,
5311017,SJPDTB13-15,,
5311018,SJPDTB13-16,,
5311019,SJPDTB16-20,,
5311020,SJPDTB16-25,,
5311021,SJPDTB20-25,,
5311022,SJPDTB20-30,,
5311023,SJPDTB8T-12,,
5321001,CJPBTB6-8,,
5321002,CJPBTB6-10,,
5321003,CJPBTB6T-8,,
5321004,CJPBTB6T-10,,
5321005,CJPBTB8-10,,
5321006,CJPBTB8-12,,
5321007,CJPBTB8-13,,
5321008,CJPBTB8T-10,,
5321010,CJPBTB8T-13,,
5321011,CJPBTB10-12,,
5321012,CJPBTB10-13,,
5321013,CJPBTB10-15,,
5321014,CJPBTB12-13,,
5321015,CJPBTB12-15,,
5321016,CJPBTB12-16,,
5321017,CJPBTB13-15,,
5321018,CJPBTB13-16,,
5321019,CJPBTB16-20,,
5321020,CJPBTB16-25,,
5321021,CJPBTB20-25,,
5321022,CJPBTB20-30,,
5321023,CJPBTB8T-12,,
5331001,CJPDTB6-8,,
5331002,CJPDTB6-10,,
5331003,CJPDTB6T-8,,
5331004,CJPDTB6T-10,,
5331005,CJPDTB8-10,,
5331006,CJPDTB8-12,,
5331007,CJPDTB8-13,,
5331008,CJPDTB8T-10,,
5331010,CJPDTB8T-13,,
5331011,CJPDTB10-12,,
5331012,CJPDTB10-13,,
5331013,CJPDTB10-15,,
5331014,CJPDTB12-13,,
5331015,CJPDTB12-15,,
5331016,CJPDTB12-16,,
5331017,CJPDTB13-15,,
5331018,CJPDTB13-16,,
5331019,CJPDTB16-20,,
5331020,CJPDTB16-25,,
5331021,CJPDTB20-25,,
5331022,CJPDTB20-30,,
5331023,CJPDTB8T-12,,
5400001,FPBTA6,,
5400002,FPBTA8,,
5400003,FPBTA10,,
5400004,FPBTA12,,
5400005,FPBTA13,,
5400006,FPBTA16,,
5400007,FPBTA20,,
5400008,FPBTA6T,,
5400009,FPBTA8T,,
5400010,FPBTA10T,,
5400011,FPBTA12T,,
5400012,FPBTA13T,,
5400013,FPBTA16T,,
5400014,FPBTA20T,,
5400015,FPBTA5,,
5410001,FPBTD6,,
5410002,FPBTD8,,
5410003,FPBTD10,,
5410004,FPBTD12,,
5410005,FPBTD13,,
5410006,FPBTD16,,
5410007,FPBTD20,,
5410008,FPBTD6T,,
5410009,FPBTD8T,,
5410010,FPBTD10T,,
5410011,FPBTD12T,,
5410012,FPBTD13T,,
5410013,FPBTD16T,,
5410014,FPBTD20T,,
5410015,FPBTD5,,
5420001,SFPBTA6,,
5420002,SFPBTA8,,
5420003,SFPBTA10,,
5420004,SFPBTA12,,
5420005,SFPBTA13,,
5420006,SFPBTA16,,
5420007,SFPBTA20,,
5420008,SFPBTA6T,,
5420009,SFPBTA8T,,
5420010,SFPBTA10T,,
5420011,SFPBTA12T,,
5420012,SFPBTA13T,,
5420013,SFPBTA16T,,
5420014,SFPBTA20T,,
5420015,SFPBTA5,,
5430001,SFPBTD6,,
5430002,SFPBTD8,,
5430003,SFPBTD10,,
5430004,SFPBTD12,,
5430005,SFPBTD13,,
5430006,SFPBTD16,,
5430007,SFPBTD20,,
5430008,SFPBTD6T,,
5430009,SFPBTD8T,,
5430010,SFPBTD10T,,
5430011,SFPBTD12T,,
5430012,SFPBTD13T,,
5430013,SFPBTD16T,,
5430014,SFPBTD20T,,
5430015,SFPBTD5,,
5440001,CFPBTA6,,
5440002,CFPBTA8,,
5440003,CFPBTA10,,
5440004,CFPBTA12,,
5440005,CFPBTA13,,
5440006,CFPBTA16,,
5440007,CFPBTA20,,
5440008,CFPBTA6T,,
5440009,CFPBTA8T,,
5440010,CFPBTA10T,,
5440011,CFPBTA12T,,
5440012,CFPBTA13T,,
5440013,CFPBTA16T,,
5440014,CFPBTA20T,,
5440015,CFPBTA5,,
5450001,CFPBTD6,,
5450002,CFPBTD8,,
5450003,CFPBTD10,,
5450004,CFPBTD12,,
5450005,CFPBTD13,,
5450006,CFPBTD16,,
5450007,CFPBTD20,,
5450008,CFPBTD6T,,
5450009,CFPBTD8T,,
5450010,CFPBTD10T,,
5450011,CFPBTD12T,,
5450012,CFPBTD13T,,
5450013,CFPBTD16T,,
5450014,CFPBTD20T,,
5450015,CFPBTD5,,
5461001,JPSPB2-1,,
5461002,JPSPB2-2,,
5461003,JPSPB3-1,,
5461004,JPSPB3-2,,
5461005,JPSPB3-3,,
5461006,JPSPB4-2,,
5461007,JPSPB4-3,,
5461008,JPSPB4-4,,
5461009,JPSPB5-2,,
5461010,JPSPB5-3,,
5461011,JPSPB5-4,,
5461012,JPSPB5-5,,
5461013,JPSPB6-2,,
5461014,JPSPB6-3,,
5461015,JPSPB6-4,,
5461016,JPSPB6-5,,
5461017,JPSPB6-6,,
5461018,JPSPB8-3,,
5461019,JPSPB8-4,,
5461020,JPSPB8-5,,
5461021,JPSPB8-6,,
5461022,JPSPB8-8,,
5461023,JPSPB10-3,,
5461024,JPSPB10-4,,
5461025,JPSPB10-5,,
5461026,JPSPB10-6,,
5461027,JPSPB10-8,,
5461028,JPSPB10-10,,
5461029,JPSPB12-5,,
5461030,JPSPB12-6,,
5461031,JPSPB12-8,,
5461032,JPSPB12-10,,
5461033,JPSPB12-12,,
5461034,JPSPB13-6,,
5461035,JPSPB13-8,,
5461036,JPSPB13-10,,
5461037,JPSPB13-12,,
5461038,JPSPB13-13,,
5461039,JPSPB16-10,,
5461040,JPSPB16-12,,
5461041,JPSPB16-13,,
5461042,JPSPB16-14,,
5461043,JPSPB16-15,,
5461044,JPSPB16-16,,
5461045,JPSPB20-13,,
5461046,JPSPB20-14,,
5461047,JPSPB20-15,,
5461048,JPSPB20-16,,
5461049,JPSPB20-20,,
5471001,JPDS4-2,,
5471002,JPDS4-3,,
5471003,JPDS4-4,,
5471004,JPDS5-2,,
5471005,JPDS5-3,,
5471006,JPDS5-4,,
5471007,JPDS5-5,,
5471008,JPDS6-2,,
5471009,JPDS6-3,,
5471010,JPDS6-4,,
5471011,JPDS6-5,,
5471012,JPDS6-6,,
5471013,JPDS8-3,,
5471014,JPDS8-4,,
5471015,JPDS8-5,,
5471016,JPDS8-6,,
5471017,JPDS8-8,,
5471018,JPDS10-3,,
5471019,JPDS10-4,,
5471020,JPDS10-5,,
5471021,JPDS10-6,,
5471022,JPDS10-8,,
5471023,JPDS10-10,,
5471024,JPDS12-5,,
5471025,JPDS12-6,,
5471026,JPDS12-8,,
5471027,JPDS12-10,,
5471028,JPDS12-12,,
5471029,JPDS13-6,,
5471030,JPDS13-8,,
5471031,JPDS13-10,,
5471032,JPDS13-12,,
5471033,JPDS13-13,,
5471034,JPDS16-10,,
5471035,JPDS16-12,,
5471036,JPDS16-13,,
5471037,JPDS16-14,,
5471038,JPDS16-15,,
5471039,JPDS16-16,,
5471040,JPDS20-13,,
5471041,JPDS20-14,,
5471042,JPDS20-15,,
5471043,JPDS20-16,,
5471044,JPDS20-20,,
5481001,JPDPS4-2,,
5481002,JPDPS4-3,,
5481003,JPDPS4-4,,
5481004,JPDPS5-2,,
5481005,JPDPS5-3,,
5481006,JPDPS5-4,,
5481007,JPDPS5-5,,
5481008,JPDPS6-2,,
5481009,JPDPS6-3,,
5481010,JPDPS6-4,,
5481011,JPDPS6-5,,
5481012,JPDPS6-6,,
5481013,JPDPS8-3,,
5481014,JPDPS8-4,,
5481015,JPDPS8-5,,
5481016,JPDPS8-6,,
5481017,JPDPS8-8,,
5481018,JPDPS10-3,,
5481019,JPDPS10-4,,
5481020,JPDPS10-5,,
5481021,JPDPS10-6,,
5481022,JPDPS10-8,,
5481023,JPDPS10-10,,
5481024,JPDPS12-5,,
5481025,JPDPS12-6,,
5481026,JPDPS12-8,,
5481027,JPDPS12-10,,
5481028,JPDPS12-12,,
5481029,JPDPS13-6,,
5481030,JPDPS13-8,,
5481031,JPDPS13-10,,
5481032,JPDPS13-12,,
5481033,JPDPS13-13,,
5481034,JPDPS16-10,,
5481035,JPDPS16-12,,
5481036,JPDPS16-13,,
5481037,JPDPS16-14,,
5481038,JPDPS16-15,,
5481039,JPDPS16-16,,
5481040,JPDPS20-13,,
5481041,JPDPS20-14,,
5481042,JPDPS20-15,,
5481043,JPDPS20-16,,
5481044,JPDPS20-20,,
5491001,SJPSB2-1,,
5491002,SJPSB2-2,,
5491003,SJPSB3-1,,
5491004,SJPSB3-2,,
5491005,SJPSB3-3,,
5491006,SJPSB4-2,,
5491007,SJPSB4-3,,
5491008,SJPSB4-4,,
5491009,SJPSB5-2,,
5491010,SJPSB5-3,,
5491011,SJPSB5-4,,
5491012,SJPSB5-5,,
5491013,SJPSB6-2,,
5491014,SJPSB6-3,,
5491015,SJPSB6-4,,
5491016,SJPSB6-5,,
5491017,SJPSB6-6,,
5491018,SJPSB8-3,,
5491019,SJPSB8-4,,
5491020,SJPSB8-5,,
5491021,SJPSB8-6,,
5491022,SJPSB8-8,,
5491023,SJPSB10-3,,
5491024,SJPSB10-4,,
5491025,SJPSB10-5,,
5491026,SJPSB10-6,,
5491027,SJPSB10-8,,
5491028,SJPSB10-10,,
5491029,SJPSB12-5,,
5491030,SJPSB12-6,,
5491031,SJPSB12-8,,
5491032,SJPSB12-10,,
5491033,SJPSB12-12,,
5491034,SJPSB13-6,,
5491035,SJPSB13-8,,
5491036,SJPSB13-10,,
5491037,SJPSB13-12,,
5491038,SJPSB13-13,,
5491039,SJPSB16-10,,
5491040,SJPSB16-12,,
5491041,SJPSB16-13,,
5491042,SJPSB16-14,,
5491043,SJPSB16-15,,
5491044,SJPSB16-16,,
5491045,SJPSB20-13,,
5491046,SJPSB20-14,,
5491047,SJPSB20-15,,
5491048,SJPSB20-16,,
5491049,SJPSB20-20,,
5501001,SJPSPB2-1,,
5501002,SJPSPB2-2,,
5501003,SJPSPB3-1,,
5501004,SJPSPB3-2,,
