GT,LE,CLASS_CODE,UPPER_LIMIT,LOWER_LIMIT
65,80,js7,15,-15
65,80,k5,15,2
65,80,k6,21,2
65,80,m5,24,11
65,80,m6,30,11
65,80,n5,33,20
65,80,n6,39,20
65,80,p6,51,32
65,80,r6,62,43
65,80,s6,78,59
65,80,t6,94,75
65,80,u6,121,102
65,80,x6,,
80,100,b9,-220,-307
80,100,c9,-170,-257
80,100,d8,-120,-174
80,100,d9,-120,-207
80,100,e7,-72,-107
80,100,e8,-72,-126
80,100,e9,-72,-159
80,100,f6,-36,-58
80,100,f7,-36,-71
80,100,f8,-36,-90
80,100,g5,-12,-27
80,100,g6,-12,-34
80,100,h5,0,-15
80,100,h6,0,-22
80,100,h7,0,-35
80,100,h8,0,-54
80,100,h9,0,-87
80,100,js5,7.5,-7.5
80,100,js6,11,-11
80,100,js7,17.5,-17.5
80,100,k5,18,3
80,100,k6,25,3
80,100,m5,28,13
80,100,m6,35,13
80,100,n5,38,23
80,100,n6,45,23
80,100,p6,59,37
80,100,r6,73,51
80,100,s6,93,71
80,100,t6,113,91
80,100,u6,146,124
80,100,x6,,
100,120,b9,-240,-327
100,120,c9,-180,-267
100,120,d8,-120,-174
100,120,d9,-120,-207
100,120,e7,-72,-107
100,120,e8,-72,-126
100,120,e9,-72,-159
100,120,f6,-36,-58
100,120,f7,-36,-71
100,120,f8,-36,-90
100,120,g5,-12,-27
100,120,g6,-12,-34
100,120,h5,0,-15
100,120,h6,0,-22
100,120,h7,0,-35
100,120,h8,0,-54
100,120,h9,0,-87
100,120,js5,7.5,-7.5
100,120,js6,11,-11
100,120,js7,17.5,-17.5
100,120,k5,18,3
100,120,k6,25,3
100,120,m5,28,13
100,120,m6,35,13
100,120,n5,38,23
100,120,n6,45,23
100,120,p6,59,37
100,120,r6,76,54
100,120,s6,101,79
100,120,t6,126,104
100,120,u6,166,144
100,120,x6,,
120,140,b9,-260,-360
120,140,c9,-200,-300
120,140,d8,-145,-208
120,140,d9,-145,-245
120,140,e7,-85,-125
120,140,e8,-85,-148
120,140,e9,-85,-185
120,140,f6,-43,-68
120,140,f7,-43,-83
120,140,f8,-43,-106
120,140,g5,-14,-32
120,140,g6,-14,-39
120,140,h5,0,-18
120,140,h6,0,-25
120,140,h7,0,-40
120,140,h8,0,-63
120,140,h9,0,-100
120,140,js5,9,-9
120,140,js6,12.5,-12.5
120,140,js7,20,-20
120,140,k5,21,3
120,140,k6,28,3
120,140,m5,33,15
120,140,m6,40,15
120,140,n5,,
120,140,n6,52,27
120,140,p6,68,43
120,140,r6,88,63
120,140,s6,117,92
120,140,t6,147,122
120,140,u6,,
120,140,x6,,
140,160,b9,-280,-380
140,160,c9,-210,-310
140,160,d8,-145,-208
140,160,d9,-145,-245
140,160,e7,-85,-125
140,160,e8,-85,-148
140,160,e9,-85,-185
140,160,f6,-43,-68
140,160,f7,-43,-83
140,160,f8,-43,-106
140,160,g5,-14,-32
140,160,g6,-14,-39
140,160,h5,0,-18
140,160,h6,0,-25
140,160,h7,0,-40
140,160,h8,0,-63
140,160,h9,0,-100
140,160,js5,9,-9
140,160,js6,12.5,-12.5
140,160,js7,20,-20
140,160,k5,21,3
140,160,k6,28,3
140,160,m5,33,15
140,160,m6,40,15
140,160,n5,,
140,160,n6,52,27
140,160,p6,68,43
140,160,r6,90,65
140,160,s6,125,100
140,160,t6,159,134
140,160,u6,,
140,160,x6,,
160,180,b9,-310,-410
160,180,c9,-230,-330
160,180,d8,-145,-208
160,180,d9,-145,-245
160,180,e7,-85,-125
160,180,e8,-85,-148
160,180,e9,-85,-185
160,180,f6,-43,-68
160,180,f7,-43,-83
160,180,f8,-43,-106
160,180,g5,-14,-32
160,180,g6,-14,-39
160,180,h5,0,-18
160,180,h6,0,-25
160,180,h7,0,-40
160,180,h8,0,-63
160,180,h9,0,-100
160,180,js5,9,-9
160,180,js6,12.5,-12.5
160,180,js7,20,-20
160,180,k5,21,3
160,180,k6,28,3
160,180,m5,33,15
160,180,m6,40,15
160,180,n5,,
160,180,n6,52,27
160,180,p6,68,43
160,180,r6,93,68
160,180,s6,133,108
160,180,t6,171,146
160,180,u6,,
160,180,x6,,
180,200,b9,-340,-455
180,200,c9,-240,-355
180,200,d8,-170,-242
180,200,d9,-170,-285
180,200,e7,-100,-146
180,200,e8,-100,-172
180,200,e9,-100,-215
180,200,f6,-50,-79
180,200,f7,-50,-96
180,200,f8,-50,-122
180,200,g5,-15,-35
180,200,g6,-15,-44
180,200,h5,0,-20
180,200,h6,0,-29
180,200,h7,0,-46
180,200,h8,0,-72
180,200,h9,0,-115
180,200,js5,10,-10
180,200,js6,14.5,-14.5
180,200,js7,23,-23
180,200,k5,24,4
180,200,k6,33,4
180,200,m5,37,17
180,200,m6,46,17
180,200,n5,,
180,200,n6,60,31
180,200,p6,79,50
180,200,r6,106,77
180,200,s6,151,122
180,200,t6,,
180,200,u6,,
180,200,x6,,
200,225,b9,-380,-495
200,225,c9,-260,-375
200,225,d8,-170,-242
200,225,d9,-170,-285
200,225,e7,-100,-146
200,225,e8,-100,-172
200,225,e9,-100,-215
200,225,f6,-50,-79
200,225,f7,-50,-96
200,225,f8,-50,-122
200,225,g5,-15,-35
200,225,g6,-15,-44
200,225,h5,0,-20
200,225,h6,0,-29
200,225,h7,0,-46
200,225,h8,0,-72
200,225,h9,0,-115
200,225,js5,10,-10
200,225,js6,14.5,-14.5
200,225,js7,23,-23
200,225,k5,24,4
200,225,k6,33,4
200,225,m5,37,17
200,225,m6,46,17
200,225,n5,,
200,225,n6,60,31
200,225,p6,79,50
200,225,r6,109,80
200,225,s6,159,130
200,225,t6,,
200,225,u6,,
200,225,x6,,
225,250,b9,-420,-535
225,250,c9,-280,-395
225,250,d8,-170,-242
225,250,d9,-170,-285
225,250,e7,-100,-146
225,250,e8,-100,-172
225,250,e9,-100,-215
225,250,f6,-50,-79
225,250,f7,-50,-96
225,250,f8,-50,-122
225,250,g5,-15,-35
225,250,g6,-15,-44
225,250,h5,0,-20
225,250,h6,0,-29
225,250,h7,0,-46
225,250,h8,0,-72
225,250,h9,0,-115
225,250,js5,10,-10
225,250,js6,14.5,-14.5
225,250,js7,23,-23
225,250,k5,24,4
225,250,k6,33,4
225,250,m5,37,17
225,250,m6,46,17
225,250,n5,,
225,250,n6,60,31
225,250,p6,79,50
225,250,r6,113,84
225,250,s6,169,140
225,250,t6,,
225,250,u6,,
225,250,x6,,
250,280,b9,-480,-610
250,280,c9,-300,-430
250,280,d8,-190,-271
250,280,d9,-190,-320
250,280,e7,-110,-162
250,280,e8,-110,-191
250,280,e9,-110,-240
250,280,f6,-56,-88
250,280,f7,-56,-108
250,280,f8,-56,-137
250,280,g5,-17,-40
250,280,g6,-17,-49
250,280,h5,0,-23
250,280,h6,0,-32
250,280,h7,0,-52
250,280,h8,0,-81
250,280,h9,0,-130
250,280,js5,11.5,-11.5
250,280,js6,16,-16
250,280,js7,26,-26
250,280,k5,27,4
250,280,k6,36,4
250,280,m5,43,20
250,280,m6,52,20
250,280,n5,,
250,280,n6,66,34
250,280,p6,88,56
250,280,r6,126,94
250,280,s6,,
250,280,t6,,
250,280,u6,,
250,280,x6,,
280,315,b9,-540,-670
280,315,c9,-330,-460
280,315,d8,-190,-271
280,315,d9,-190,-320
280,315,e7,-110,-162
280,315,e8,-110,-191
280,315,e9,-110,-240
280,315,f6,-56,-88
280,315,f7,-56,-108
280,315,f8,-56,-137
280,315,g5,-17,-40
280,315,g6,-17,-49
280,315,h5,0,-23
280,315,h6,0,-32
280,315,h7,0,-52
280,315,h8,0,-81
280,315,h9,0,-130
280,315,js5,11.5,-11.5
280,315,js6,16,-16
280,315,js7,26,-26
280,315,k5,27,4
280,315,k6,36,4
280,315,m5,43,20
280,315,m6,52,20
280,315,n5,,
280,315,n6,66,34
280,315,p6,88,56
280,315,r6,130,98
280,315,s6,,
280,315,t6,,
280,315,u6,,
280,315,x6,,
315,355,b9,-600,-740
315,355,c9,-360,-500
315,355,d8,-210,-299
315,355,d9,-210,-350
315,355,e7,-125,-182
315,355,e8,-125,-214
315,355,e9,-125,-265
315,355,f6,-62,-98
315,355,f7,-62,-119
315,355,f8,-62,-151
315,355,g5,-18,-43
315,355,g6,-18,-54
315,355,h5,0,-25
315,355,h6,0,-36
315,355,h7,0,-57
315,355,h8,0,-89
315,355,h9,0,-140
315,355,js5,12.5,-12.5
315,355,js6,18,-18
315,355,js7,28.5,-28.5
315,355,k5,29,4
315,355,k6,40,4
315,355,m5,46,21
315,355,m6,57,21
315,355,n5,,
315,355,n6,73,37
315,355,p6,98,62
315,355,r6,144,108
315,355,s6,,
315,355,t6,,
315,355,u6,,
315,355,x6,,
355,400,b9,-680,-820
355,400,c9,-400,-540
355,400,d8,-210,-299
355,400,d9,-210,-350
355,400,e7,-125,-182
355,400,e8,-125,-214
355,400,e9,-125,-265
355,400,f6,-62,-98
355,400,f7,-62,-119
355,400,f8,-62,-151
355,400,g5,-18,-43
355,400,g6,-18,-54
355,400,h5,0,-25
355,400,h6,0,-36
355,400,h7,0,-57
355,400,h8,0,-89
355,400,h9,0,-140
355,400,js5,12.5,-12.5
355,400,js6,18,-18
355,400,js7,28.5,-28.5
355,400,k5,29,4
355,400,k6,40,4
355,400,m5,46,21
355,400,m6,57,21
355,400,n5,,
355,400,n6,73,37
355,400,p6,98,62
355,400,r6,150,114
355,400,s6,,
355,400,t6,,
355,400,u6,,
355,400,x6,,
400,450,b9,-760,-915
400,450,c9,-440,-595
400,450,d8,-230,-327
400,450,d9,-230,-385
400,450,e7,-135,-198
400,450,e8,-135,-232
400,450,e9,-135,-290
400,450,f6,-68,-108
400,450,f7,-68,-131
400,450,f8,-68,-165
400,450,g5,-20,-47
400,450,g6,-20,-60
400,450,h5,0,-27
400,450,h6,0,-40
400,450,h7,0,-63
400,450,h8,0,-97
400,450,h9,0,-155
400,450,js5,13.5,-13.5
400,450,js6,20,-20
400,450,js7,31.5,-31.5
400,450,k5,32,5
400,450,k6,45,5
400,450,m5,50,23
400,450,m6,63,23
400,450,n5,,
400,450,n6,80,40
400,450,p6,108,68
400,450,r6,166,126
400,450,s6,,
400,450,t6,,
400,450,u6,,
400,450,x6,,
450,500,b9,-840,-995
450,500,c9,-480,-635
450,500,d8,-230,-327
450,500,d9,-230,-385
450,500,e7,-135,-198
450,500,e8,-135,-232
450,500,e9,-135,-290
450,500,f6,-68,-108
450,500,f7,-68,-131
450,500,f8,-68,-165
450,500,g5,-20,-47
450,500,g6,-20,-60
450,500,h5,0,-27
450,500,h6,0,-40
450,500,h7,0,-63
450,500,h8,0,-97
450,500,h9,0,-155
450,500,js5,13.5,-13.5
450,500,js6,20,-20
450,500,js7,31.5,-31.5
450,500,k5,32,5
450,500,k6,45,5
450,500,m5,50,23
450,500,m6,63,23
450,500,n5,,
450,500,n6,80,40
450,500,p6,108,68
450,500,r6,172,132
450,500,s6,,
450,500,t6,,
450,500,u6,,
450,500,x6,,
