NO,prg1
5180009,1
5180010,1
5180011,1
5180012,1
5190001,1
5190002,1
5190003,1
5190004,1
5190005,1
5190006,1
5190007,1
5190008,1
5190009,1
5190010,1
5190011,1
5190012,1
5200001,1
5200002,1
5200003,1
5200004,1
5200005,1
5200006,1
5200007,1
5200008,1
5200009,1
5200010,1
5200011,1
5200012,1
5210001,1
5210002,1
5210003,1
5210004,1
5210005,1
5210006,1
5210007,1
5210008,1
5210009,1
5210010,1
5210011,1
5210012,1
5220001,1
5220002,1
5220003,1
5220004,1
5220005,1
5220006,1
5220007,1
5220008,1
5220009,1
5220010,1
5220011,1
5220012,1
5230001,1
5230002,1
5230003,1
5230004,1
5230005,1
5230006,1
5230007,1
5230008,1
5230009,1
5230010,1
5230011,1
5230012,1
5240001,1
5240002,1
5240003,1
5240004,1
5240005,1
5240006,1
5240007,1
5240008,1
5240009,1
5240010,1
5240011,1
5240012,1
5250001,1
5250002,1
5250003,1
5250004,1
5250005,1
5250006,1
5250007,1
5250008,1
5250009,1
5250010,1
5250011,1
5250012,1
5260001,1
5260002,1
5260003,1
5260004,1
5260005,1
5260006,1
5260007,1
5260008,1
5260009,1
5260010,1
5260011,1
5260012,1
5270001,1
5270002,1
5270003,1
5270004,1
5270005,1
5270006,1
5270007,1
5270008,1
5270009,1
5270010,1
5270011,1
5270012,1
5281001,1
5281002,1
5281003,1
5281004,1
5281005,1
5281006,1
5281007,1
5281008,1
5281010,1
5281011,1
5281012,1
5281013,1
5281014,1
5281015,1
5281016,1
5281017,1
5281018,1
5281019,1
5281020,1
5281021,1
5281022,1
5281023,1
5291001,1
5291002,1
5291003,1
5291004,1
5291005,1
5291006,1
5291007,1
5291008,1
5291010,1
5291011,1
5291012,1
5291013,1
5291014,1
5291015,1
5291016,1
5291017,1
5291018,1
5291019,1
5291020,1
5291021,1
5291022,1
5291023,1
5301001,1
5301002,1
5301003,1
5301004,1
5301005,1
5301006,1
5301007,1
5301008,1
5301010,1
5301011,1
5301012,1
5301013,1
5301014,1
5301015,1
5301016,1
5301017,1
5301018,1
5301019,1
5301020,1
5301021,1
5301022,1
5301023,1
5311001,1
5311002,1
5311003,1
5311004,1
5311005,1
5311006,1
5311007,1
5311008,1
5311010,1
5311011,1
5311012,1
5311013,1
5311014,1
5311015,1
5311016,1
5311017,1
5311018,1
5311019,1
5311020,1
5311021,1
5311022,1
5311023,1
5321001,1
5321002,1
5321003,1
5321004,1
5321005,1
5321006,1
5321007,1
5321008,1
5321010,1
5321011,1
5321012,1
5321013,1
5321014,1
5321015,1
5321016,1
5321017,1
5321018,1
5321019,1
5321020,1
5321021,1
5321022,1
5321023,1
5331001,1
5331002,1
5331003,1
5331004,1
5331005,1
5331006,1
5331007,1
5331008,1
5331010,1
5331011,1
5331012,1
5331013,1
5331014,1
5331015,1
5331016,1
5331017,1
5331018,1
5331019,1
5331020,1
5331021,1
5331022,1
5331023,1
5400001,1
5400002,1
5400003,1
5400004,1
5400005,1
5400006,1
5400007,1
5400008,1
5400009,1
5400010,1
5400011,1
5400012,1
5400013,1
5400014,1
5400015,1
5410001,1
5410002,1
5410003,1
5410004,1
5410005,1
5410006,1
5410007,1
5410008,1
5410009,1
5410010,1
5410011,1
5410012,1
5410013,1
5410014,1
5410015,1
5420001,1
5420002,1
5420003,1
5420004,1
5420005,1
5420006,1
5420007,1
5420008,1
5420009,1
5420010,1
5420011,1
5420012,1
5420013,1
5420014,1
5420015,1
5430001,1
5430002,1
5430003,1
5430004,1
5430005,1
5430006,1
5430007,1
5430008,1
5430009,1
5430010,1
5430011,1
5430012,1
5430013,1
5430014,1
5430015,1
5440001,1
5440002,1
5440003,1
5440004,1
5440005,1
5440006,1
5440007,1
5440008,1
5440009,1
5440010,1
5440011,1
5440012,1
5440013,1
5440014,1
5440015,1
5450001,1
5450002,1
5450003,1
5450004,1
5450005,1
5450006,1
5450007,1
5450008,1
5450009,1
5450010,1
5450011,1
5450012,1
5450013,1
5450014,1
5450015,1
5461001,1
5461002,1
5461003,1
5461004,1
5461005,1
5461006,1
5461007,1
5461008,1
5461009,1
5461010,1
5461011,1
5461012,1
5461013,1
5461014,1
5461015,1
5461016,1
5461017,1
5461018,1
5461019,1
5461020,1
5461021,1
5461022,1
5461023,1
5461024,1
5461025,1
5461026,1
5461027,1
5461028,1
5461029,1
5461030,1
5461031,1
5461032,1
5461033,1
5461034,1
5461035,1
5461036,1
5461037,1
5461038,1
5461039,1
5461040,1
5461041,1
5461042,1
5461043,1
5461044,1
5461045,1
5461046,1
5461047,1
5461048,1
5461049,1
5471001,1
5471002,1
5471003,1
5471004,1
5471005,1
5471006,1
5471007,1
5471008,1
5471009,1
5471010,1
5471011,1
5471012,1
5471013,1
5471014,1
5471015,1
5471016,1
5471017,1
5471018,1
5471019,1
5471020,1
5471021,1
5471022,1
5471023,1
5471024,1
5471025,1
5471026,1
5471027,1
5471028,1
5471029,1
5471030,1
5471031,1
5471032,1
5471033,1
5471034,1
5471035,1
5471036,1
5471037,1
5471038,1
5471039,1
5471040,1
5471041,1
5471042,1
5471043,1
5471044,1
5481001,1
5481002,1
5481003,1
5481004,1
5481005,1
5481006,1
5481007,1
5481008,1
5481009,1
5481010,1
5481011,1
5481012,1
5481013,1
5481014,1
5481015,1
5481016,1
5481017,1
5481018,1
5481019,1
5481020,1
5481021,1
5481022,1
5481023,1
5481024,1
5481025,1
5481026,1
5481027,1
5481028,1
5481029,1
5481030,1
5481031,1
5481032,1
5481033,1
5481034,1
5481035,1
5481036,1
5481037,1
5481038,1
5481039,1
5481040,1
5481041,1
5481042,1
5481043,1
5481044,1
5491001,1
5491002,1
5491003,1
5491004,1
5491005,1
5491006,1
5491007,1
5491008,1
5491009,1
5491010,1
5491011,1
5491012,1
5491013,1
5491014,1
5491015,1
5491016,1
5491017,1
5491018,1
5491019,1
5491020,1
5491021,1
5491022,1
5491023,1
5491024,1
5491025,1
5491026,1
5491027,1
5491028,1
5491029,1
5491030,1
5491031,1
5491032,1
5491033,1
5491034,1
5491035,1
5491036,1
5491037,1
5491038,1
5491039,1
5491040,1
5491041,1
5491042,1
5491043,1
5491044,1
5491045,1
5491046,1
5491047,1
5491048,1
5491049,1
5501001,1
5501002,1
5501003,1
5501004,1
5501005,1
5501006,1
5501007,1
5501008,1
5501009,1
5501010,1
5501011,1
5501012,1
5501013,1
5501014,1
5501015,1
5501016,1
5501017,1
5501018,1
5501019,1
5501020,1
5501021,1
5501022,1
5501023,1
5501024,1
5501025,1
5501026,1
5501027,1
5501028,1
5501029,1
5501030,1
5501031,1
5501032,1
5501033,1
5501034,1
5501035,1
5501036,1
5501037,1
5501038,1
5501039,1
5501040,1
5501041,1
5501042,1
5501043,1
5501044,1
5501045,1
5501046,1
5501047,1
5501048,1
5501049,1
5511001,1
5511002,1
5511003,1
5511004,1
5511005,1
5511006,1
5511007,1
5511008,1
5511009,1
5511010,1
5511011,1
5511012,1
5511013,1
5511014,1
5511015,1
5511016,1
5511017,1
5511018,1
5511019,1
5511020,1
5511021,1
5511022,1
5511023,1
5511024,1
5511025,1
5511026,1
5511027,1
5511028,1
5511029,1
5511030,1
5511031,1
5511032,1
5511033,1
5511034,1
5511035,1
5511036,1
5511037,1
5511038,1
5511039,1
5511040,1
5511041,1
5511042,1
5511043,1
5511044,1
5521001,1
5521002,1
5521003,1
5521004,1
5521005,1
5521006,1
5521007,1
5521008,1
5521009,1
5521010,1
5521011,1
5521012,1
5521013,1
5521014,1
5521015,1
5521016,1
5521017,1
5521018,1
5521019,1
5521020,1
5521021,1
5521022,1
5521023,1
5521024,1
5521025,1
5521026,1
5521027,1
5521028,1
5521029,1
5521030,1
5521031,1
5521032,1
5521033,1
5521034,1
5521035,1
5521036,1
5521037,1
5521038,1
5521039,1
5521040,1
5521041,1
5521042,1
5521043,1
5521044,1
5531001,1
5531002,1
5531003,1
5531004,1
5531005,1
5531006,1
5531007,1
5531008,1
5531009,1
5531010,1
5531011,1
5531012,1
5531013,1
5531014,1
5531015,1
5531016,1
5531017,1
5531018,1
5531019,1
5531020,1
5531021,1
5531022,1
5531023,1
5531024,1
5531025,1
5531026,1
5531027,1
5531028,1
5531029,1
5531030,1
5531031,1
5531032,1
5531033,1
5531034,1
5531035,1
5531036,1
5531037,1
5531038,1
5531039,1
5531040,1
5531041,1
5531042,1
5531043,1
5531044,1
5531045,1
5531046,1
5531047,1
5531048,1
5531049,1
5541001,1
5541002,1
5541003,1
5541004,1
5541005,1
5541006,1
5541007,1
5541008,1
5541009,1
5541010,1
5541011,1
5541012,1
5541013,1
5541014,1
5541015,1
5541016,1
5541017,1
5541018,1
5541019,1
5541020,1
5541021,1
5541022,1
5541023,1
5541024,1
5541025,1
5541026,1
5541027,1
5541028,1
5541029,1
5541030,1
5541031,1
5541032,1
5541033,1
5541034,1
5541035,1
5541036,1
5541037,1
5541038,1
5541039,1
5541040,1
5541041,1
5541042,1
5541043,1
5541044,1
5541045,1
5541046,1
5541047,1
5541048,1
5541049,1
5551001,1
5551002,1
5551003,1
5551004,1
5551005,1
5551006,1
5551007,1
5551008,1
5551009,1
5551010,1
5551011,1
5551012,1
5551013,1
5551014,1
5551015,1
5551016,1
5551017,1
5551018,1
5551019,1
5551020,1
5551021,1
5551022,1
5551023,1
5551024,1
5551025,1
5551026,1
5551027,1
5551028,1
5551029,1
5551030,1
5551031,1
5551032,1
5551033,1
5551034,1
5551035,1
5551036,1
5551037,1
5551038,1
5551039,1
5551040,1
5551041,1
5551042,1
5551043,1
5551044,1
5561001,1
5561002,1
5561003,1
5561004,1
5561005,1
5561006,1
5561007,1
5561008,1
5561009,1
5561010,1
5561011,1
5561012,1
5561013,1
5561014,1
5561015,1
5561016,1
5561017,1
5561018,1
5561019,1
5561020,1
5561021,1
5561022,1
5561023,1
5561024,1
5561025,1
5561026,1
5561027,1
5561028,1
5561029,1
5561030,1
5561031,1
5561032,1
5561033,1
5561034,1
5561035,1
5561036,1
5561037,1
5561038,1
5561039,1
5561040,1
5561041,1
5561042,1
5561043,1
5561044,1
5610001,1
5610002,1
5610003,1
5610004,1
5610005,1
5610006,1
5610007,1
5610008,1
5610009,1
5610010,1
5610011,1
5620001,1
5620002,1
5620003,1
5620004,1
5620005,1
5620006,1
5620007,1
5620008,1
5620009,1
5620010,1
5630001,1
5630002,1
5630003,1
5630004,1
5630005,1
5630006,1
5630007,1
5630008,1
5630009,1
5630010,1
5630011,1
5640001,1
5640002,1
5640003,1
5640004,1
5640005,1
5640006,1
5640007,1
5640008,1
5640009,1
5640010,1
5650001,1
5650002,1
5650003,1
5650004,1
5650005,1
5650006,1
5650007,1
5650008,1
5650009,1
5650010,1
5650011,1
5660001,1
5660002,1
5660003,1
5660004,1
5660005,1
5660006,1
5660007,1
5660008,1
5660009,1
5660010,1
5670001,1
5670002,1
5670003,1
5670004,1
5670005,1
5670006,1
5670007,1
5670008,1
5670009,1
5670010,1
5670011,1
5680001,1
5680002,1
5680003,1
5680004,1
5680005,1
5680006,1
5680007,1
5680008,1
5680009,1
5680010,1
5690001,1
5690002,1
5690003,1
5690004,1
5690005,1
5690006,1
5690007,1
5690008,1
5690009,1
5690010,1
5690011,1
5700001,1
5700002,1
5700003,1
5700004,1
5700005,1
5700006,1
5700007,1
5700008,1
5700009,1
5700010,1
5710001,1
5710002,1
5710003,1
5710004,1
5710005,1
5710006,1
5710007,1
5710008,1
5710009,1
5710010,1
5710011,1
5720001,1
5720002,1
5720003,1
5720004,1
5720005,1
5720006,1
5720007,1
5720008,1
5720009,1
5720010,1
6131001,1
6131002,1
6131003,1
6131004,1
6131005,1
6131006,1
6131007,1
6131008,1
6131009,1
6141001,1
6141002,1
6141003,1
6141004,1
6141005,1
6141006,1
6141008,1
6151001,1
6151002,1
6151003,1
6151004,1
6151005,1
6161001,1
6161002,1
6161003,1
6161004,1
6161005,1
6161006,1
6161007,1
6161008,1
6161009,1
6161010,1
6161011,1
6161012,1
6161013,1
6161014,1
6171001,1
6171002,1
6171003,1
6171004,1
6171005,1
6171006,1
6171007,1
6171008,1
6171009,1
6171010,1
6171011,1
6171012,1
6171013,1
6171014,1
6220001,1
6220002,1
6220003,1
6220004,1
6220005,1
6220006,1
6220007,1
6220008,1
6220009,1
6230001,1
6230002,1
6230003,1
6230004,1
6230005,1
6230006,1
6230007,1
6230008,1
6230009,1
6240001,1
6240002,1
6240003,1
6240004,1
6240005,1
6240006,1
6240007,1
6240008,1
6240009,1
6240010,1
6240011,1
6240012,1
6240013,1
6240014,1
6240015,1
6240016,1
6240017,1
6240018,1
6240019,1
6250001,1
6250002,1
6250003,1
6250004,1
6250005,1
6250006,1
6250007,1
6250008,1
6250009,1
6260001,1
6260002,1
6260003,1
6260004,1
6260005,1
6260006,1
6260007,1
6260008,1
6260009,1
6260010,1
6260011,1
6260012,1
6260013,1
6260014,1
6260015,1
6260016,1
6260017,1
6260018,1
6260019,1
6270001,1
6270002,1
6270003,1
6270004,1
6270005,1
6270006,1
6270007,1
6270008,1
6270009,1
6280001,1
6280002,1
6280003,1
6280004,1
6280005,1
6280006,1
6280007,1
6280008,1
6280009,1
6280010,1
6280011,1
6280012,1
6280013,1
6280014,1
6280015,1
6280016,1
6280017,1
6280018,1
6280019,1
6280020,1
6280021,1
6280022,1
6280023,1
6280024,1
6280025,1
6280026,1
6280029,1
6280030,1
6280033,1
6280034,1
6290001,1
6290002,1
6290003,1
6290004,1
6290005,1
6290006,1
6290007,1
6290008,1
6290009,1
83160001,1
83160002,1
83160003,1
83160004,1
83160005,1
83170001,1
83170002,1
83170003,1
83170004,1
83170005,1
83180001,1
83180002,1
83180003,1
83180004,1
83180005,1
83190001,1
83190002,1
83190003,1
83190004,1
83190005,1
83200001,1
83200002,1
83200003,1
83200004,1
83200005,1
83210001,1
83210002,1
83210003,1
83210004,1
83210005,1
83400001,1
83400002,1
83400003,1
83400004,1
83400005,1
83400006,1
83400007,1
83400008,1
83400009,1
83400010,1
83400011,1
83400012,1
83410001,1
83410002,1
83410003,1
83410004,1
83410005,1
83410006,1
83410007,1
83410008,1
83410009,1
83410010,1
83410011,1
83410012,1
83420001,1
83420002,1
83420003,1
83420004,1
83420005,1
83420006,1
83420007,1
83420008,1
83420009,1
83420010,1
83420011,1
83420012,1
83430001,1
83430002,1
83430003,1
83430004,1
83430005,1
83430006,1
83430007,1
83430008,1
83430009,1
83430010,1
83430011,1
83430012,1
83440001,1
83440002,1
83440003,1
83440004,1
83440005,1
83440006,1
83440007,1
83440008,1
83440009,1
83440010,1
83440011,1
83440012,1
83450001,1
83450002,1
83450003,1
83450004,1
83450005,1
83450006,1
83450007,1
83450008,1
83450009,1
83450010,1
83450011,1
83450012,1
83520001,1
83520002,1
83520003,1
83520004,1
83520005,1
83520006,1
83520007,1
83520008,1
83520009,1
83520010,1
83520011,1
83530001,1
83530002,1
83530003,1
83530004,1
83530005,1
83530006,1
83530007,1
83530008,1
83530009,1
83530010,1
83530011,1
83540001,1
83540002,1
83540003,1
83540004,1
83540005,1
83540006,1
83540007,1
83540008,1
83540009,1
83540010,1
83540011,1
83550001,1
83550002,1
83550003,1
83550004,1
83550005,1
83550006,1
83550007,1
83550008,1
83550009,1
83550010,1
83550011,1
83560001,1
83560002,1
83560003,1
83560004,1
83560005,1
83560006,1
83560007,1
83560008,1
83560009,1
83560010,1
83560011,1
83570001,1
83570002,1
83570003,1
83570004,1
83570005,1
83570006,1
83570007,1
83570008,1
83570009,1
83570010,1
83570011,1
83870001,1
83870002,1
83870003,1
83870004,1
83870005,1
83870006,1
83870007,1
83870008,1
83870009,1
83870010,1
83870011,1
83870012,1
83870013,1
83870014,1
83870015,1
83870016,1
83870017,1
83870018,1
83870019,1
83870020,1
83870021,1
83870022,1
83870023,1
83870024,1
83870025,1
83870026,1
83870027,1
83870028,1
83870029,1
83870030,1
83870031,1
83870032,1
83870033,1
83870034,1
83870035,1
83870036,1
83870037,1
83870038,1
83870039,1
83870040,1
83870041,1
83870042,1
83870043,1
83870044,1
83870045,1
83870046,1
83870047,1
83870048,1
83870049,1
83870050,1
83870051,1
83870052,1
83870053,1
83870054,1
83870055,1
83870056,1
83870057,1
83870058,1
83870059,1
83870060,1
83870061,1
83870062,1
83870063,1
83870064,1
83870065,1
83870066,1
83870067,1
83870068,1
83870069,1
83870070,1
83870071,1
83870072,1
83870073,1
83870074,1
83870075,1
83870076,1
83870077,1
83870078,1
83870079,1
83870080,1
83870081,1
83870082,1
83870083,1
83870084,1
83870085,1
83870086,1
83870087,1
83870088,1
83870089,1
83870090,1
83870091,1
83870092,1
83870093,1
83870094,1
83870095,1
83870096,1
83870097,1
83870098,1
83870099,1
83870100,1
83870101,1
83870102,1
83870103,1
83870104,1
83870105,1
83870106,1
83870107,1
83870108,1
83870109,1
83870110,1
83870111,1
83870112,1
83870113,1
83870114,1
83870115,1
83870116,1
83870117,1
83870118,1
83870119,1
83870120,1
83870121,1
83870122,1
83870123,1
83870124,1
83870125,1
83870126,1
83870127,1
83870128,1
83870129,1
83870130,1
83870131,1
83870132,1
83870133,1
83870134,1
83870135,1
83870136,1
83870137,1
83870138,1
83870139,1
83870140,1
83870141,1
83870142,1
83870143,1
83870144,1
83870145,1
83870146,1
83870147,1
83870148,1
83870149,1
83870150,1
83870151,1
83870152,1
83870153,1
83870154,1
83870155,1
83870156,1
83870157,1
83870158,1
83870159,1
83870160,1
83880001,1
83880002,1
83880003,1
83880004,1
83880005,1
83880006,1
83880007,1
83880008,1
83880009,1
83880010,1
83880011,1
83880012,1
83880013,1
83880014,1
83880015,1
83880016,1
83880017,1
83880018,1
83880019,1
83880020,1
83880021,1
83880022,1
83880023,1
83880024,1
83880025,1
83880026,1
83880027,1
83880028,1
83880029,1
83880030,1
83880031,1
83880032,1
83880033,1
83880034,1
83880035,1
83880036,1
83880037,1
83880038,1
83880039,1
83880040,1
83880041,1
83880042,1
83880043,1
83880044,1
83880045,1
83880046,1
83880047,1
83880048,1
83880049,1
83880050,1
83880051,1
83880052,1
83880053,1
83880054,1
83880055,1
83880056,1
83880057,1
83880058,1
83880059,1
83880060,1
83880061,1
83880062,1
83880063,1
83880064,1
83880065,1
83880066,1
83880067,1
83880068,1
83880069,1
83880070,1
83880071,1
83880072,1
83880073,1
83880074,1
83880075,1
83880076,1
83880077,1
83880078,1
83880079,1
83880080,1
83880081,1
83880082,1
83880083,1
83880084,1
83880085,1
83880086,1
83880087,1
83880088,1
83880089,1
83880090,1
83880091,1
83880092,1
83880093,1
83880094,1
83880095,1
83880096,1
83880097,1
83880098,1
83880099,1
83880100,1
83880101,1
83880102,1
83880103,1
83880104,1
83880105,1
83880106,1
83880107,1
83880108,1
83880109,1
83880110,1
83880111,1
83880112,1
83880113,1
83880114,1
83880115,1
83880116,1
83880117,1
83880118,1
83880119,1
83880120,1
83880121,1
83880122,1
83880123,1
83880124,1
83880125,1
83880126,1
83880127,1
83880128,1
83880129,1
83880130,1
83880131,1
83880132,1
83880133,1
83880134,1
83880135,1
83880136,1
83880137,1
83880138,1
83880139,1
83880140,1
83880141,1
83880142,1
83880143,1
83880144,1
83880145,1
83880146,1
83880147,1
83880148,1
83880149,1
83880150,1
83880151,1
83880152,1
83880153,1
83880154,1
83880155,1
83880156,1
83880157,1
83880158,1
83880159,1
83880160,1
83890001,1
83890002,1
83890003,1
83890004,1
83890005,1
83890006,1
83890007,1
83890008,1
83890009,1
83890010,1
83890011,1
83890012,1
83890013,1
83890014,1
83890015,1
83890016,1
83890017,1
83890018,1
83890019,1
83890020,1
83890021,1
83890022,1
83890023,1
83890024,1
83890025,1
83890026,1
83890027,1
83890028,1
83890029,1
83890030,1
83890031,1
83890032,1
83890033,1
83890034,1
83890035,1
83890036,1
83890037,1
83890038,1
83890039,1
83890040,1
83890041,1
83890042,1
83890043,1
83890044,1
83890045,1
83890046,1
83890047,1
83890048,1
83890049,1
83890050,1
83890051,1
83890052,1
83890053,1
83890054,1
83890055,1
83890056,1
83890057,1
83890058,1
83890059,1
83890060,1
83890061,1
83890062,1
83890063,1
83890064,1
83890065,1
83890066,1
83890067,1
83890068,1
83890069,1
83890070,1
83890071,1
83890072,1
83890073,1
83890074,1
83890075,1
83890076,1
83890077,1
83890078,1
83890079,1
83890080,1
83890081,1
83890082,1
83890083,1
83890084,1
83890085,1
83890086,1
83890087,1
83890088,1
83890089,1
83890090,1
83890091,1
83890092,1
83890093,1
83890094,1
83890095,1
83890096,1
83890097,1
83890098,1
83890099,1
83890100,1
83890101,1
83890102,1
83890103,1
83890104,1
83890105,1
83890106,1
83890107,1
83890108,1
83890109,1
83890110,1
83890111,1
83890112,1
83890113,1
83890114,1
83890115,1
83890116,1
83890117,1
83890118,1
83890119,1
83890120,1
83890121,1
83890122,1
83890123,1
83890124,1
83890125,1
83890126,1
83890127,1
83890128,1
83890129,1
83890130,1
83890131,1
83890132,1
83890133,1
83890134,1
83890135,1
83890136,1
83890137,1
83890138,1
83890139,1
83890140,1
83890141,1
83890142,1
83890143,1
83890144,1
83890145,1
83890146,1
83890147,1
83890148,1
83890149,1
83890150,1
83890151,1
83890152,1
83890153,1
83890154,1
83890155,1
83890156,1
83890157,1
83890158,1
83890159,1
83890160,1
83900001,1
83900002,1
83900003,1
83900004,1
83900005,1
83900006,1
83900007,1
83900008,1
83900009,1
83900010,1
83900011,1
83900012,1
83900013,1
83900014,1
83900015,1
83900016,1
83900017,1
83900018,1
83900019,1
83900020,1
83900021,1
83900022,1
83900023,1
83900024,1
83900025,1
83900026,1
83900027,1
83900028,1
83900029,1
83900030,1
83900031,1
83900032,1
83900033,1
83900034,1
83900035,1
83900036,1
83900037,1
83900038,1
83900039,1
83900040,1
83900041,1
83900042,1
83900043,1
83900044,1
83900045,1
83900046,1
83900047,1
83900048,1
83900049,1
83900050,1
83900051,1
83900052,1
83900053,1
83900054,1
83900055,1
83900056,1
83900057,1
83900058,1
83900059,1
83900060,1
83900061,1
83900062,1
83900063,1
83900064,1
83900065,1
83900066,1
83900067,1
83900068,1
83900069,1
83900070,1
83900071,1
83900072,1
83900073,1
83900074,1
83900075,1
83900076,1
83900077,1
83900078,1
83900079,1
83900080,1
83900081,1
83900082,1
83900083,1
83900084,1
83900085,1
83900086,1
83900087,1
83900088,1
83900089,1
83900090,1
83900091,1
83900092,1
83900093,1
83900094,1
83900095,1
83900096,1
83900097,1
83900098,1
83900099,1
83900100,1
83900101,1
83900102,1
83900103,1
83900104,1
83900105,1
83900106,1
83900107,1
83900108,1
83900109,1
83900110,1
83900111,1
83900112,1
83900113,1
83900114,1
83900115,1
83900116,1
83900117,1
83900118,1
83900119,1
83900120,1
83900121,1
83900122,1
83900123,1
83900124,1
83900125,1
83900126,1
83900127,1
83900128,1
83900129,1
83900130,1
83900131,1
83900132,1
83900133,1
83900134,1
83900135,1
83900136,1
83900137,1
83900138,1
83900139,1
83900140,1
