Œ^Ž®,ƒ}ƒNƒ”Ô†,³“š,o—Í
BLPSQTAG8-L29.3,#158,,<-- is not numeric
BLPSQTAG8-L29.3,#158,,0.8
BLPSQTAG8-L29.3,#159,,<-- is not numeric
BLPSQTAG8-L29.3,#160,,<-- is not numeric
BLPSQTAG8-L29.3,#160,,200
BLPSQTAG8-L29.3,#161,,<-- is not numeric
BLPSQTAG8-L29.3,#161,,6000
BLPSQTAG8-L29.3,#162,,<-- is not numeric
BLPSQTAG8-L29.3,#162,,0.1
BLPSQTAG8-L29.3,#163,,<-- is not numeric
BLPSQTAG8-L29.3,#164,,<-- is not numeric
BLPSQTAG8-L29.3,#165,,<-- is not numeric
BLPSQTAG8-L29.3,#166,,<-- is not numeric
BLPSQTAG8-L29.3,#167,,<-- is not numeric
BLPSQTAG8-L29.3,#168,,<-- is not numeric
BLPSQTAG8-L29.3,#169,,<-- is not numeric
BLPSQTAG8-L29.3,#170,,<-- is not numeric
BLPSQTAG8-L29.3,#171,,<-- is not numeric
BLPSQTAG8-L29.3,#172,,<-- is not numeric
BLPSQTAG8-L29.3,#173,,<-- is not numeric
BLPSQTAG8-L29.3,#174,,<-- is not numeric
BLPSQTAG8-L29.3,#175,,<-- is not numeric
BLPSQTAG8-L29.3,#176,,<-- is not numeric
BLPSQTAG8-L29.3,#177,,<-- is not numeric
BLPSQTAG8-L29.3,#178,,<-- is not numeric
BLPSQTAG8-L29.3,#179,,<-- is not numeric
BLPSQTAG8-L29.3,#180,,<-- is not numeric
BLPSQTAG8-L29.3,#180,,120
BLPSQTAG8-L29.3,#181,,<-- is not numeric
BLPSQTAG8-L29.3,#181,,3000
BLPSQTAG8-L29.3,#182,,<-- is not numeric
BLPSQTAG8-L29.3,#182,,0.08
BLPSQTAG8-L29.3,#183,,<-- is not numeric
BLPSQTAG8-L29.3,#184,,<-- is not numeric
BLPSQTAG8-L29.3,#184,,120
BLPSQTAG8-L29.3,#185,,<-- is not numeric
BLPSQTAG8-L29.3,#185,,2500
BLPSQTAG8-L29.3,#186,,<-- is not numeric
BLPSQTAG8-L29.3,#186,,0.1
BLPSQTAG8-L29.3,#187,,<-- is not numeric
BLPSQTAG8-L29.3,#188,,<-- is not numeric
BLPSQTAG8-L29.3,#188,,4000
BLPSQTAG8-L29.3,#189,,<-- is not numeric
BLPSQTAG8-L29.3,#189,,0.05
BLPSQTAG8-L29.3,#190,,<-- is not numeric
BLPSQTAG8-L29.3,#191,,<-- is not numeric
BLPSQTAG8-L29.3,#191,,160
BLPSQTAG8-L29.3,#192,,<-- is not numeric
BLPSQTAG8-L29.3,#192,,4000
BLPSQTAG8-L29.3,#193,,<-- is not numeric
BLPSQTAG8-L29.3,#193,,0.08
BLPSQTAG8-L29.3,#194,,<-- is not numeric
BLPSQTAG8-L29.3,#194,,1
BLPSQTAG8-L29.3,#195,,<-- is not numeric
BLPSQTAG8-L29.3,#196,,<-- is not numeric
BLPSQTAG8-L29.3,#196,,160
BLPSQTAG8-L29.3,#197,,<-- is not numeric
BLPSQTAG8-L29.3,#197,,4000
BLPSQTAG8-L29.3,#198,,<-- is not numeric
BLPSQTAG8-L29.3,#198,,0.05
BLPSQTAG8-L29.3,#199,,<-- is not numeric
BLPSQTAG8-L29.3,#199,,0.1
BLPSQTAG8-L29.3,#500,,<-- is not numeric
BLPSQTAG8-L29.3,#501,,<-- is not numeric
BLPSQTAG8-L29.3,#502,,<-- is not numeric
BLPSQTAG8-L29.3,#503,,<-- is not numeric
BLPSQTAG8-L29.3,#504,,<-- is not numeric
BLPSQTAG8-L29.3,#504,,3551
BLPSQTAG8-L29.3,#505,,<-- is not numeric
BLPSQTAG8-L29.3,#505,,22
BLPSQTAG8-L29.3,#506,,<-- is not numeric
BLPSQTAG8-L29.3,#507,,<-- is not numeric
BLPSQTAG8-L29.3,#507,,3552
BLPSQTAG8-L29.3,#508,,<-- is not numeric
BLPSQTAG8-L29.3,#508,,24
BLPSQTAG8-L29.3,#509,,<-- is not numeric
BLPSQTAG8-L29.3,#510,,<-- is not numeric
BLPSQTAG8-L29.3,#510,,3553
BLPSQTAG8-L29.3,#511,,<-- is not numeric
BLPSQTAG8-L29.3,#511,,26
BLPSQTAG8-L29.3,#512,,<-- is not numeric
BLPSQTAG8-L29.3,#513,,<-- is not numeric
BLPSQTAG8-L29.3,#513,,3551
BLPSQTAG8-L29.3,#514,,<-- is not numeric
BLPSQTAG8-L29.3,#515,,<-- is not numeric
FPBPA10-P12-L10-B4,#100,,<-- is not numeric
FPBPA10-P12-L10-B4,#100,,13
FPBPA10-P12-L10-B4,#101,,<-- is not numeric
FPBPA10-P12-L10-B4,#101,,1
FPBPA10-P12-L10-B4,#102,,<-- is not numeric
FPBPA10-P12-L10-B4,#102,,10
FPBPA10-P12-L10-B4,#103,,<-- is not numeric
FPBPA10-P12-L10-B4,#103,,12
FPBPA10-P12-L10-B4,#104,,<-- is not numeric
FPBPA10-P12-L10-B4,#104,,10
FPBPA10-P12-L10-B4,#105,,<-- is not numeric
FPBPA10-P12-L10-B4,#105,,4
FPBPA10-P12-L10-B4,#106,,<-- is not numeric
FPBPA10-P12-L10-B4,#106,,2
FPBPA10-P12-L10-B4,#107,,<-- is not numeric
FPBPA10-P12-L10-B4,#108,,<-- is not numeric
FPBPA10-P12-L10-B4,#108,,1
FPBPA10-P12-L10-B4,#109,,<-- is not numeric
FPBPA10-P12-L10-B4,#109,,15
FPBPA10-P12-L10-B4,#110,,<-- is not numeric
FPBPA10-P12-L10-B4,#111,,<-- is not numeric
FPBPA10-P12-L10-B4,#112,,<-- is not numeric
FPBPA10-P12-L10-B4,#112,,18.3
FPBPA10-P12-L10-B4,#113,,<-- is not numeric
FPBPA10-P12-L10-B4,#113,,0.15
FPBPA10-P12-L10-B4,#114,,<-- is not numeric
FPBPA10-P12-L10-B4,#114,,0.13
FPBPA10-P12-L10-B4,#115,,<-- is not numeric
FPBPA10-P12-L10-B4,#115,,0.17
FPBPA10-P12-L10-B4,#116,,<-- is not numeric
FPBPA10-P12-L10-B4,#116,,1.7
FPBPA10-P12-L10-B4,#117,,<-- is not numeric
FPBPA10-P12-L10-B4,#118,,<-- is not numeric
FPBPA10-P12-L10-B4,#119,,<-- is not numeric
FPBPA10-P12-L10-B4,#120,,<-- is not numeric
FPBPA10-P12-L10-B4,#121,,<-- is not numeric
FPBPA10-P12-L10-B4,#121,,1.6
FPBPA10-P12-L10-B4,#122,,<-- is not numeric
FPBPA10-P12-L10-B4,#122,,9.8564
FPBPA10-P12-L10-B4,#123,,<-- is not numeric
FPBPA10-P12-L10-B4,#124,,<-- is not numeric
FPBPA10-P12-L10-B4,#124,,4
FPBPA10-P12-L10-B4,#125,,<-- is not numeric
FPBPA10-P12-L10-B4,#125,,0.3
FPBPA10-P12-L10-B4,#126,,<-- is not numeric
FPBPA10-P12-L10-B4,#127,,<-- is not numeric
FPBPA10-P12-L10-B4,#128,,<-- is not numeric
FPBPA10-P12-L10-B4,#128,,100
FPBPA10-P12-L10-B4,#129,,<-- is not numeric
FPBPA10-P12-L10-B4,#129,,200
FPBPA10-P12-L10-B4,#130,,<-- is not numeric
FPBPA10-P12-L10-B4,#130,,300
FPBPA10-P12-L10-B4,#131,,<-- is not numeric
FPBPA10-P12-L10-B4,#131,,402
FPBPA10-P12-L10-B4,#132,,<-- is not numeric
FPBPA10-P12-L10-B4,#132,,500
FPBPA10-P12-L10-B4,#133,,<-- is not numeric
FPBPA10-P12-L10-B4,#133,,600
FPBPA10-P12-L10-B4,#134,,<-- is not numeric
FPBPA10-P12-L10-B4,#134,,700
FPBPA10-P12-L10-B4,#135,,<-- is not numeric
FPBPA10-P12-L10-B4,#135,,800
FPBPA10-P12-L10-B4,#136,,<-- is not numeric
FPBPA10-P12-L10-B4,#136,,900
FPBPA10-P12-L10-B4,#137,,<-- is not numeric
FPBPA10-P12-L10-B4,#137,,1
FPBPA10-P12-L10-B4,#138,,<-- is not numeric
FPBPA10-P12-L10-B4,#138,,1100
FPBPA10-P12-L10-B4,#139,,<-- is not numeric
FPBPA10-P12-L10-B4,#140,,<-- is not numeric
FPBPA10-P12-L10-B4,#141,,<-- is not numeric
FPBPA10-P12-L10-B4,#142,,<-- is not numeric
FPBPA10-P12-L10-B4,#142,,200
FPBPA10-P12-L10-B4,#143,,<-- is not numeric
FPBPA10-P12-L10-B4,#143,,5000
FPBPA10-P12-L10-B4,#144,,<-- is not numeric
FPBPA10-P12-L10-B4,#144,,0.08
FPBPA10-P12-L10-B4,#145,,<-- is not numeric
FPBPA10-P12-L10-B4,#146,,<-- is not numeric
FPBPA10-P12-L10-B4,#146,,5000
FPBPA10-P12-L10-B4,#147,,<-- is not numeric
FPBPA10-P12-L10-B4,#147,,0.08
FPBPA10-P12-L10-B4,#148,,<-- is not numeric
FPBPA10-P12-L10-B4,#149,,<-- is not numeric
FPBPA10-P12-L10-B4,#150,,<-- is not numeric
FPBPA10-P12-L10-B4,#151,,<-- is not numeric
FPBPA10-P12-L10-B4,#152,,<-- is not numeric
FPBPA10-P12-L10-B4,#153,,<-- is not numeric
FPBPA10-P12-L10-B4,#154,,<-- is not numeric
FPBPA10-P12-L10-B4,#155,,<-- is not numeric
FPBPA10-P12-L10-B4,#156,,<-- is not numeric
FPBPA10-P12-L10-B4,#157,,<-- is not numeric
FPBPA10-P12-L10-B4,#158,,<-- is not numeric
FPBPA10-P12-L10-B4,#159,,<-- is not numeric
FPBPA10-P12-L10-B4,#160,,<-- is not numeric
FPBPA10-P12-L10-B4,#160,,200
FPBPA10-P12-L10-B4,#161,,<-- is not numeric
FPBPA10-P12-L10-B4,#161,,6000
FPBPA10-P12-L10-B4,#162,,<-- is not numeric
FPBPA10-P12-L10-B4,#162,,0.1
FPBPA10-P12-L10-B4,#163,,<-- is not numeric
FPBPA10-P12-L10-B4,#164,,<-- is not numeric
FPBPA10-P12-L10-B4,#164,,80
FPBPA10-P12-L10-B4,#165,,<-- is not numeric
FPBPA10-P12-L10-B4,#165,,3000
FPBPA10-P12-L10-B4,#166,,<-- is not numeric
FPBPA10-P12-L10-B4,#166,,0.1
FPBPA10-P12-L10-B4,#167,,<-- is not numeric
FPBPA10-P12-L10-B4,#168,,<-- is not numeric
FPBPA10-P12-L10-B4,#169,,<-- is not numeric
FPBPA10-P12-L10-B4,#170,,<-- is not numeric
FPBPA10-P12-L10-B4,#171,,<-- is not numeric
FPBPA10-P12-L10-B4,#172,,<-- is not numeric
FPBPA10-P12-L10-B4,#172,,200
FPBPA10-P12-L10-B4,#173,,<-- is not numeric
FPBPA10-P12-L10-B4,#173,,4000
FPBPA10-P12-L10-B4,#174,,<-- is not numeric
FPBPA10-P12-L10-B4,#174,,0.12
FPBPA10-P12-L10-B4,#175,,<-- is not numeric
FPBPA10-P12-L10-B4,#176,,<-- is not numeric
FPBPA10-P12-L10-B4,#177,,<-- is not numeric
FPBPA10-P12-L10-B4,#178,,<-- is not numeric
FPBPA10-P12-L10-B4,#179,,<-- is not numeric
FPBPA10-P12-L10-B4,#180,,<-- is not numeric
FPBPA10-P12-L10-B4,#180,,120
FPBPA10-P12-L10-B4,#181,,<-- is not numeric
FPBPA10-P12-L10-B4,#181,,3000
FPBPA10-P12-L10-B4,#182,,<-- is not numeric
FPBPA10-P12-L10-B4,#182,,0.08
FPBPA10-P12-L10-B4,#183,,<-- is not numeric
FPBPA10-P12-L10-B4,#184,,<-- is not numeric
FPBPA10-P12-L10-B4,#184,,120
FPBPA10-P12-L10-B4,#185,,<-- is not numeric
FPBPA10-P12-L10-B4,#185,,2500
FPBPA10-P12-L10-B4,#186,,<-- is not numeric
FPBPA10-P12-L10-B4,#186,,0.1
FPBPA10-P12-L10-B4,#187,,<-- is not numeric
FPBPA10-P12-L10-B4,#188,,<-- is not numeric
FPBPA10-P12-L10-B4,#188,,4000
FPBPA10-P12-L10-B4,#189,,<-- is not numeric
FPBPA10-P12-L10-B4,#189,,0.05
FPBPA10-P12-L10-B4,#190,,<-- is not numeric
FPBPA10-P12-L10-B4,#191,,<-- is not numeric
FPBPA10-P12-L10-B4,#191,,160
FPBPA10-P12-L10-B4,#192,,<-- is not numeric
FPBPA10-P12-L10-B4,#192,,4000
FPBPA10-P12-L10-B4,#193,,<-- is not numeric
FPBPA10-P12-L10-B4,#193,,0.08
FPBPA10-P12-L10-B4,#194,,<-- is not numeric
FPBPA10-P12-L10-B4,#194,,1
FPBPA10-P12-L10-B4,#195,,<-- is not numeric
FPBPA10-P12-L10-B4,#196,,<-- is not numeric
FPBPA10-P12-L10-B4,#196,,160
FPBPA10-P12-L10-B4,#197,,<-- is not numeric
FPBPA10-P12-L10-B4,#197,,4000
FPBPA10-P12-L10-B4,#198,,<-- is not numeric
FPBPA10-P12-L10-B4,#198,,0.05
FPBPA10-P12-L10-B4,#199,,<-- is not numeric
FPBPA10-P12-L10-B4,#199,,0.1
FPBPA10-P12-L10-B4,#500,,<-- is not numeric
FPBPA10-P12-L10-B4,#501,,<-- is not numeric
FPBPA10-P12-L10-B4,#501,,3253
FPBPA10-P12-L10-B4,#502,,<-- is not numeric
FPBPA10-P12-L10-B4,#502,,8
FPBPA10-P12-L10-B4,#503,,<-- is not numeric
FPBPA10-P12-L10-B4,#504,,<-- is not numeric
FPBPA10-P12-L10-B4,#505,,<-- is not numeric
FPBPA10-P12-L10-B4,#506,,<-- is not numeric
FPBPA10-P12-L10-B4,#507,,<-- is not numeric
FPBPA10-P12-L10-B4,#508,,<-- is not numeric
FPBPA10-P12-L10-B4,#509,,<-- is not numeric
FPBPA10-P12-L10-B4,#510,,<-- is not numeric
FPBPA10-P12-L10-B4,#511,,<-- is not numeric
FPBPA10-P12-L10-B4,#512,,<-- is not numeric
FPBPA10-P12-L10-B4,#513,,<-- is not numeric
FPBPA10-P12-L10-B4,#513,,3253
FPBPA10-P12-L10-B4,#514,,<-- is not numeric
FPBPA10-P12-L10-B4,#515,,<-- is not numeric
FPBPD10-P12-L10-B4,#100,,<-- is not numeric
FPBPD10-P12-L10-B4,#100,,13
FPBPD10-P12-L10-B4,#101,,<-- is not numeric
FPBPD10-P12-L10-B4,#101,,1
FPBPD10-P12-L10-B4,#102,,<-- is not numeric
FPBPD10-P12-L10-B4,#102,,10
FPBPD10-P12-L10-B4,#103,,<-- is not numeric
FPBPD10-P12-L10-B4,#103,,12
FPBPD10-P12-L10-B4,#104,,<-- is not numeric
FPBPD10-P12-L10-B4,#104,,10
FPBPD10-P12-L10-B4,#105,,<-- is not numeric
FPBPD10-P12-L10-B4,#105,,4
FPBPD10-P12-L10-B4,#106,,<-- is not numeric
FPBPD10-P12-L10-B4,#106,,2
FPBPD10-P12-L10-B4,#107,,<-- is not numeric
FPBPD10-P12-L10-B4,#108,,<-- is not numeric
FPBPD10-P12-L10-B4,#108,,1
FPBPD10-P12-L10-B4,#109,,<-- is not numeric
FPBPD10-P12-L10-B4,#109,,15
FPBPD10-P12-L10-B4,#110,,<-- is not numeric
FPBPD10-P12-L10-B4,#111,,<-- is not numeric
FPBPD10-P12-L10-B4,#111,,4
FPBPD10-P12-L10-B4,#112,,<-- is not numeric
FPBPD10-P12-L10-B4,#112,,18.3
FPBPD10-P12-L10-B4,#113,,<-- is not numeric
FPBPD10-P12-L10-B4,#113,,0.15
FPBPD10-P12-L10-B4,#114,,<-- is not numeric
FPBPD10-P12-L10-B4,#114,,0.13
FPBPD10-P12-L10-B4,#115,,<-- is not numeric
FPBPD10-P12-L10-B4,#115,,0.17
FPBPD10-P12-L10-B4,#116,,<-- is not numeric
FPBPD10-P12-L10-B4,#116,,1.7
FPBPD10-P12-L10-B4,#117,,<-- is not numeric
FPBPD10-P12-L10-B4,#118,,<-- is not numeric
FPBPD10-P12-L10-B4,#119,,<-- is not numeric
FPBPD10-P12-L10-B4,#120,,<-- is not numeric
FPBPD10-P12-L10-B4,#120,,9.1210
FPBPD10-P12-L10-B4,#121,,<-- is not numeric
FPBPD10-P12-L10-B4,#121,,1.6
FPBPD10-P12-L10-B4,#122,,<-- is not numeric
FPBPD10-P12-L10-B4,#122,,9.8564
FPBPD10-P12-L10-B4,#123,,<-- is not numeric
FPBPD10-P12-L10-B4,#124,,<-- is not numeric
FPBPD10-P12-L10-B4,#124,,4
FPBPD10-P12-L10-B4,#125,,<-- is not numeric
FPBPD10-P12-L10-B4,#125,,0.3
FPBPD10-P12-L10-B4,#126,,<-- is not numeric
FPBPD10-P12-L10-B4,#127,,<-- is not numeric
FPBPD10-P12-L10-B4,#128,,<-- is not numeric
FPBPD10-P12-L10-B4,#128,,100
FPBPD10-P12-L10-B4,#129,,<-- is not numeric
FPBPD10-P12-L10-B4,#129,,200
FPBPD10-P12-L10-B4,#130,,<-- is not numeric
FPBPD10-P12-L10-B4,#130,,300
FPBPD10-P12-L10-B4,#131,,<-- is not numeric
FPBPD10-P12-L10-B4,#131,,402
FPBPD10-P12-L10-B4,#132,,<-- is not numeric
FPBPD10-P12-L10-B4,#132,,501
FPBPD10-P12-L10-B4,#133,,<-- is not numeric
FPBPD10-P12-L10-B4,#133,,601
FPBPD10-P12-L10-B4,#134,,<-- is not numeric
FPBPD10-P12-L10-B4,#134,,700
FPBPD10-P12-L10-B4,#135,,<-- is not numeric
FPBPD10-P12-L10-B4,#135,,800
FPBPD10-P12-L10-B4,#136,,<-- is not numeric
FPBPD10-P12-L10-B4,#136,,900
FPBPD10-P12-L10-B4,#137,,<-- is not numeric
FPBPD10-P12-L10-B4,#137,,1
FPBPD10-P12-L10-B4,#138,,<-- is not numeric
FPBPD10-P12-L10-B4,#138,,1100
FPBPD10-P12-L10-B4,#139,,<-- is not numeric
FPBPD10-P12-L10-B4,#140,,<-- is not numeric
FPBPD10-P12-L10-B4,#141,,<-- is not numeric
FPBPD10-P12-L10-B4,#142,,<-- is not numeric
FPBPD10-P12-L10-B4,#142,,200
FPBPD10-P12-L10-B4,#143,,<-- is not numeric
FPBPD10-P12-L10-B4,#143,,5000
FPBPD10-P12-L10-B4,#144,,<-- is not numeric
FPBPD10-P12-L10-B4,#144,,0.08
FPBPD10-P12-L10-B4,#145,,<-- is not numeric
FPBPD10-P12-L10-B4,#146,,<-- is not numeric
FPBPD10-P12-L10-B4,#146,,5000
FPBPD10-P12-L10-B4,#147,,<-- is not numeric
FPBPD10-P12-L10-B4,#147,,0.08
FPBPD10-P12-L10-B4,#148,,<-- is not numeric
FPBPD10-P12-L10-B4,#149,,<-- is not numeric
FPBPD10-P12-L10-B4,#150,,<-- is not numeric
FPBPD10-P12-L10-B4,#151,,<-- is not numeric
FPBPD10-P12-L10-B4,#152,,<-- is not numeric
FPBPD10-P12-L10-B4,#153,,<-- is not numeric
FPBPD10-P12-L10-B4,#154,,<-- is not numeric
FPBPD10-P12-L10-B4,#155,,<-- is not numeric
FPBPD10-P12-L10-B4,#156,,<-- is not numeric
FPBPD10-P12-L10-B4,#157,,<-- is not numeric
FPBPD10-P12-L10-B4,#158,,<-- is not numeric
FPBPD10-P12-L10-B4,#159,,<-- is not numeric
FPBPD10-P12-L10-B4,#160,,<-- is not numeric
FPBPD10-P12-L10-B4,#160,,200
FPBPD10-P12-L10-B4,#161,,<-- is not numeric
FPBPD10-P12-L10-B4,#161,,6000
FPBPD10-P12-L10-B4,#162,,<-- is not numeric
FPBPD10-P12-L10-B4,#162,,0.1
FPBPD10-P12-L10-B4,#163,,<-- is not numeric
FPBPD10-P12-L10-B4,#164,,<-- is not numeric
FPBPD10-P12-L10-B4,#164,,80
FPBPD10-P12-L10-B4,#165,,<-- is not numeric
FPBPD10-P12-L10-B4,#165,,3000
FPBPD10-P12-L10-B4,#166,,<-- is not numeric
FPBPD10-P12-L10-B4,#166,,0.1
FPBPD10-P12-L10-B4,#167,,<-- is not numeric
FPBPD10-P12-L10-B4,#168,,<-- is not numeric
FPBPD10-P12-L10-B4,#169,,<-- is not numeric
FPBPD10-P12-L10-B4,#170,,<-- is not numeric
FPBPD10-P12-L10-B4,#171,,<-- is not numeric
FPBPD10-P12-L10-B4,#172,,<-- is not numeric
FPBPD10-P12-L10-B4,#172,,200
FPBPD10-P12-L10-B4,#173,,<-- is not numeric
FPBPD10-P12-L10-B4,#173,,4000
FPBPD10-P12-L10-B4,#174,,<-- is not numeric
FPBPD10-P12-L10-B4,#174,,0.12
FPBPD10-P12-L10-B4,#175,,<-- is not numeric
FPBPD10-P12-L10-B4,#176,,<-- is not numeric
FPBPD10-P12-L10-B4,#176,,1500
FPBPD10-P12-L10-B4,#177,,<-- is not numeric
FPBPD10-P12-L10-B4,#177,,1
FPBPD10-P12-L10-B4,#178,,<-- is not numeric
FPBPD10-P12-L10-B4,#178,,0.1
FPBPD10-P12-L10-B4,#179,,<-- is not numeric
FPBPD10-P12-L10-B4,#180,,<-- is not numeric
FPBPD10-P12-L10-B4,#180,,120
FPBPD10-P12-L10-B4,#181,,<-- is not numeric
FPBPD10-P12-L10-B4,#181,,3000
FPBPD10-P12-L10-B4,#182,,<-- is not numeric
FPBPD10-P12-L10-B4,#182,,0.08
FPBPD10-P12-L10-B4,#183,,<-- is not numeric
FPBPD10-P12-L10-B4,#184,,<-- is not numeric
FPBPD10-P12-L10-B4,#184,,120
FPBPD10-P12-L10-B4,#185,,<-- is not numeric
FPBPD10-P12-L10-B4,#185,,2500
FPBPD10-P12-L10-B4,#186,,<-- is not numeric
FPBPD10-P12-L10-B4,#186,,0.1
FPBPD10-P12-L10-B4,#187,,<-- is not numeric
FPBPD10-P12-L10-B4,#188,,<-- is not numeric
FPBPD10-P12-L10-B4,#188,,4000
FPBPD10-P12-L10-B4,#189,,<-- is not numeric
FPBPD10-P12-L10-B4,#189,,0.05
FPBPD10-P12-L10-B4,#190,,<-- is not numeric
FPBPD10-P12-L10-B4,#191,,<-- is not numeric
FPBPD10-P12-L10-B4,#191,,160
FPBPD10-P12-L10-B4,#192,,<-- is not numeric
FPBPD10-P12-L10-B4,#192,,4000
FPBPD10-P12-L10-B4,#193,,<-- is not numeric
FPBPD10-P12-L10-B4,#193,,0.08
FPBPD10-P12-L10-B4,#194,,<-- is not numeric
FPBPD10-P12-L10-B4,#194,,1
FPBPD10-P12-L10-B4,#195,,<-- is not numeric
FPBPD10-P12-L10-B4,#196,,<-- is not numeric
FPBPD10-P12-L10-B4,#196,,160
FPBPD10-P12-L10-B4,#197,,<-- is not numeric
FPBPD10-P12-L10-B4,#197,,4000
FPBPD10-P12-L10-B4,#198,,<-- is not numeric
FPBPD10-P12-L10-B4,#198,,0.05
FPBPD10-P12-L10-B4,#199,,<-- is not numeric
FPBPD10-P12-L10-B4,#199,,0.1
FPBPD10-P12-L10-B4,#500,,<-- is not numeric
FPBPD10-P12-L10-B4,#501,,<-- is not numeric
FPBPD10-P12-L10-B4,#501,,3253
