DEFINE,VALUE,1,2,3,4,5,6,7,8,,,,,,,,
relationSR,0.083,and,#541,=,75,and,#506,=,100,,,,,,,,
relationSR,0.078,and,#541,=,75,and,#506,=,90,,,,,,,,
relationSR,0.075,and,#541,=,75,and,#506,=,80,,,,,,,,
relationSR,0.075,and,#541,=,75,and,#506,=,70,,,,,,,,
relationSR,0.075,and,#541,=,75,and,#506,=,60,,,,,,,,
relationSR,0.075,and,#541,=,75,and,#506,=,50,,,,,,,,
relationSR,0.075,and,#541,=,75,and,#506,=,40,,,,,,,,
relationSR,0.115,and,#541,=,80,and,#506,=,160,,,,,,,,
relationSR,0.11,and,#541,=,80,and,#506,=,150,,,,,,,,
relationSR,0.105,and,#541,=,80,and,#506,=,140,,,,,,,,
relationSR,0.1,and,#541,=,80,and,#506,=,130,,,,,,,,
relationSR,0.095,and,#541,=,80,and,#506,=,120,,,,,,,,
relationSR,0.09,and,#541,=,80,and,#506,=,110,,,,,,,,
relationSR,0.085,and,#541,=,80,and,#506,=,100,,,,,,,,
relationSR,0.08,and,#541,=,80,and,#506,=,90,,,,,,,,
relationSR,0.08,and,#541,=,80,and,#506,=,80,,,,,,,,
relationSR,0.08,and,#541,=,80,and,#506,=,70,,,,,,,,
relationSR,0.08,and,#541,=,80,and,#506,=,60,,,,,,,,
relationSR,0.08,and,#541,=,80,and,#506,=,50,,,,,,,,
relationSR,0.08,and,#541,=,80,and,#506,=,40,,,,,,,,
relationSR,0.125,and,#541,=,100,and,#506,=,160,,,,,,,,
relationSR,0.12,and,#541,=,100,and,#506,=,150,,,,,,,,
relationSR,0.115,and,#541,=,100,and,#506,=,140,,,,,,,,
relationSR,0.11,and,#541,=,100,and,#506,=,130,,,,,,,,
relationSR,0.105,and,#541,=,100,and,#506,=,120,,,,,,,,
relationSR,0.1,and,#541,=,100,and,#506,=,110,,,,,,,,
relationSR,0.1,and,#541,=,100,and,#506,=,100,,,,,,,,
relationSR,0.1,and,#541,=,100,and,#506,=,90,,,,,,,,
relationSR,0.1,and,#541,=,100,and,#506,=,80,,,,,,,,
relationSR,0.1,and,#541,=,100,and,#506,=,70,,,,,,,,
relationSR,0.1,and,#541,=,100,and,#506,=,60,,,,,,,,
relationSR,0.1,and,#541,=,100,and,#506,=,50,,,,,,,,
relationSR,0.1,and,#541,=,100,and,#506,=,40,,,,,,,,
relationEF,calc2,,,,,,,,,,,,,,,,
relation16,160,and,#500,=,2,and,#516,=,0,,,,,,,,
relation16,161,and,#500,=,2,and,#516,=,1,,,,,,,,
relation17,160,and,#500,=,2,and,#516,=,0,and,#505,>=,70,,,,
relation17,162,and,#500,=,2,and,#516,=,1,and,#545,<=,12,and,#505,>=,70
relation17,163,and,#500,=,2,and,#516,=,1,and,#545,>,12,and,#505,>=,70
relation17.5,151,and,#545,<=,12,,,,,,,,,,,,
relation17.5,152,and,#545,>,12,,,,,,,,,,,,
relation18,160,and,#500,=,2,and,#516,=,0,,,,,,,,
relation18,164,and,#500,=,2,and,#516,=,1,,,,,,,,
